record_id,product_class,archive_identifier,procedure_or_scene,candidate_split
airfryer-017,Air Fryer,youtube-3emzRi3gdiQ,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-018,Air Fryer,TikTok-7248044505042111762,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-019,Air Fryer,TikTok-7218339788535893294,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-020,Air Fryer,youtube-53Kg3tKZEOA,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-021,Air Fryer,youtube-macMh9YZYjY,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-022,Air Fryer,mmcmd-Tina_s_Joyful_Kitchen-_Air_Fryer_Chicken_and_Veggie_Crunch_Salad,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-023,Air Fryer,youtube-9lewk8Z5Htk,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-024,Air Fryer,youtube-NmN53yuxr-U,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-025,Air Fryer,TikTok-7487429074529307950,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-026,Air Fryer,monterca-MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-027,Air Fryer,youtube-ohiGKnzmfAY,"air fryer operation, maintenance, or troubleshooting",development_candidate
airfryer-028,Air Fryer,gctvva-Library_Kitchen_-_Easy_Air_Fryer_Egg_Cups,"air fryer operation, maintenance, or troubleshooting",development_candidate
espresso-017,Espresso Machine,how-to-fix-jura-a1-model-espresso-machine,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-018,Espresso Machine,youtube-llFWIu51xb8,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-019,Espresso Machine,SaecoEspressoMachine_201708,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-020,Espresso Machine,Anthonysespresso.comSaecoEspressoMachine,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-021,Espresso Machine,original-espresso-machine-co.-espresso-machine-training-dvd,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-022,Espresso Machine,youtube-0PxxapU0nu4,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-023,Espresso Machine,StarbucksBaristaHomeEspresso,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-024,Espresso Machine,Todays_Author_featuring_Andrew_Botieri_Author_of_The_Magical_Espresso_Machine,"espresso machine operation, maintenance, or troubleshooting",development_candidate
pressure-020,Pressure Cooker,youtube-VrwddG6c1qA,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-021,Pressure Cooker,twitter-1755242227071119572,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-022,Pressure Cooker,cook-faster-with-the-best-pressure-cooker-by-decent-cookware,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-023,Pressure Cooker,Amazon.comMealthyMultiPot9In1ProgrammablePressureCooker6QuartsWithStainlessSteel,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-024,Pressure Cooker,19940508am-family-pressure-hosanna,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-025,Pressure Cooker,youtube-NYZD_FxjwEw,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-026,Pressure Cooker,DiaryOfAnArcadeEmployeeVidcast05PressureCooker,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-027,Pressure Cooker,youtube-ymo46Al_M60,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-028,Pressure Cooker,Instant_Pot_Risotto_with_Shrimp_-_Shrewsbury_Community_Cookbook,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-029,Pressure Cooker,sf17ut-Cheap_and_Easy_-_Instant_Pot_Whole_Chicken_Cooking_Made_Easy_with_June,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-030,Pressure Cooker,robocook-pdf,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
pressure-031,Pressure Cooker,cook-more-effortlessly-with-the-big-pressure-cooker-by-decent-cookware,"pressure cooker operation, maintenance, or troubleshooting",development_candidate
printer-011,Printer,hp-3830-printer-setup-hp-printer-setup-support,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-012,Printer,dailymotion-xq2rmt,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-013,Printer,youtube-eEOaA76WR0Q,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-014,Printer,youtube-mpo00dO4YFw,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-015,Printer,youtube-dba8fp-8Z2o,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-016,Printer,how-to-download-mb-5470-printer-driver,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-017,Printer,fix-paper-jam-in-printer,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-018,Printer,learn-how-to-connect-printer-to-wifi-with-ease,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-019,Printer,youtube-Qmkg1tA0BBI,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-020,Printer,youtube-2wo_suktXOE,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-021,Printer,youtube-7_cXhCq-qeQ,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-022,Printer,youtube-MfcHxU7tNMY,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-023,Printer,how-to-install-hewlett-packard-printer-without-cd,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-024,Printer,youtube-UEK4yY1NcEc,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-025,Printer,how-to-resolve-hp-printer-fuser-error,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-026,Printer,corccav-How_to_add_a_network_printer_in_Windows_7,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-027,Printer,cwuwa-How_to_add_a_printer_to_a_Mac,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-028,Printer,youtube-ElnQiJlRYEI,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-029,Printer,youtube-tg2BHRfT2a4,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-030,Printer,youtube-10WLJY8r_Jc,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-031,Printer,youtube-SG2999EuGoo,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-032,Printer,youtube-Wle8uA_bYoE,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
printer-033,Printer,youtube-fU2ZXoJ4oE4,"paper printer setup, operation, maintenance, or troubleshooting",development_candidate
vacuum-027,Vacuum,go-animate-toons-robot-vacuum,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-028,Vacuum,go-animate-toons-robot-vacuum-720p,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-029,Vacuum,youtube-QC9Fu9mNOG8,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-030,Vacuum,youtube-9lXmkHXsiEw,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-031,Vacuum,87054-pitch-plant-profit,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-032,Vacuum,youtube-ypES7umF7z0,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-033,Vacuum,youtube-ARnpo_32m4k,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-034,Vacuum,youtube-zcH8CT_xikE,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-035,Vacuum,CLE-B04_29449-29897,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-036,Vacuum,NJY-016_446136-447039,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-037,Vacuum,coatx-Vacuuming_the_City_s_Sewage,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-038,Vacuum,youtube-Dk6gd7CTQJw,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-039,Vacuum,japanese-vacuum-cleaner-commercial,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-040,Vacuum,youtube-J8ttGSr8t3Y,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-041,Vacuum,youtube-pVc_Vr4-pqU,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-042,Vacuum,brother-mickey-mouse-and-sister-minnie-mouse-gets-stuck-on-the-vacuum-cleaner,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-043,Vacuum,2006-commercial-for-gale-force-cyclonic-vacuum-cleaner,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-044,Vacuum,black-decker-vacuum-cleaner-power-pro-1991-commercial,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-045,Vacuum,youtube-od-SDectzW8,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-046,Vacuum,youtube-HZetIZTGjRw,"household vacuum operation, maintenance, or troubleshooting",development_candidate
washing-028,Washing Machine,washer-repair,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-029,Washing Machine,youtube-5626Gv4D7q8,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-030,Washing Machine,youtube-jgiEcrlIpmA,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-031,Washing Machine,washing-machine-heart-mapleshade-map-part-2-wip,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-032,Washing Machine,youtube-YfZbmfCYSSs,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-033,Washing Machine,westinghouse1965,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-034,Washing Machine,washingMachine2_201808,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-035,Washing Machine,washing-machine-35mm,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-036,Washing Machine,mom-minnie-mouse-got-losing-the-winner-spin-washing-machine,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-037,Washing Machine,youtube-AGB-lJ_K960dG4c,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-038,Washing Machine,WashingMachineTearingItselfApartItsNotStopmotionThisIsRealtimeLoopsWhyUDontPut,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-039,Washing Machine,SillyPieceOfDenimYeahThatsWhyItSurvivesTheWashingMachineMoneyDollarUsaAmerican,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-040,Washing Machine,comet-sense-hotpoint-washing-machine-advert,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-041,Washing Machine,NathanAlberBrokenWashingMachine,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-042,Washing Machine,nick-jr-face-the-washing-machine,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-043,Washing Machine,easyWashingMachineCommercialFrom1955,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-044,Washing Machine,youtube-tgTeoaZN9W4,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-045,Washing Machine,GalamaticDeluxWashingMachine1965TVCommercialXvid,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-046,Washing Machine,complete-map-warriors-cats-washing-machine-heart-fallen-leaves,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-047,Washing Machine,washingmachineheart,"washing machine operation, maintenance, or troubleshooting",development_candidate
