record_id,product_class,archive_identifier,procedure_or_scene,candidate_split
espresso-025,Espresso Machine,youtube-mh0OtyP9Wm0,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-026,Espresso Machine,86424GoldenFragrance,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-027,Espresso Machine,youtube-qLbR0Fdfv5Q,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-028,Espresso Machine,youtube-_1Y60oOaWzg,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-029,Espresso Machine,zefrank-theshow-198,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-030,Espresso Machine,asmr-friendly-barista-fails-to-actually-recommend-you-coffee-barista,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-031,Espresso Machine,youtube-B0-ui5X4tS8,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-032,Espresso Machine,cowtxv-Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-033,Espresso Machine,wccctvtx-Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-034,Espresso Machine,ExpressoMachine-AnthonysEspresso,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-035,Espresso Machine,Clarencegiottocleaningprocedure,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-036,Espresso Machine,SheldonPineoHelloIsThisThingWorking,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-037,Espresso Machine,Ianmessenger-TheNewEra282,"espresso machine operation, maintenance, or troubleshooting",development_candidate
espresso-038,Espresso Machine,lfpaz-Litchfield_Perk_Litchfield_Park_s_Coffee_Gem,"espresso machine operation, maintenance, or troubleshooting",development_candidate
