record_id,product_class,title,source_platform,source_page_url,creator,license_id,license_url,license_evidence_url,license_checked_at,duration_seconds,width,height,language,procedure_or_scene,relevance,commercial_use,modification,redistribution_rule,personality_or_privacy,status,status_reason,reviewer_1,reviewer_2,local_file_sha256,notes
airfryer-029,Air Fryer,Chicken Tandoori Recipe in Philips Airfryer by VahChef,Internet Archive,https://archive.org/details/youtube-DosjRtIxuEg,Vahchef - VahRehVah,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-DosjRtIxuEg,2026-07-22,673.33,854,480,und,air fryer cooking procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,853838ee93433557fe93454b1bb73a0fb1a33d6e93f377f2ed1ebc18ebaf2a74,source_disjoint_test_candidate; archive_file=DosjRtIxuEg.mp4
airfryer-002,Air Fryer,Library Kitchen: Air Fryer Oreos,Internet Archive,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,Gloucester County VA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,2026-07-22,357.89,854,480,English,air fryer recipe procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,source_disjoint_test_candidate; archive_file=Library_Kitchen_-_Air_Fryer_Oreos.mp4
airfryer-030,Air Fryer,Cooking Healthy Snacks with an Air fryer - Hardin County Extension Today June 2019,Internet Archive,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,HCEC-TV,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,2026-07-22,1092.2,480,360,English,healthy snack preparation,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,5eed26cd72252c2aef8202a3d43fdd670ba8c943356a131b75ade7b330c27bb2,source_disjoint_test_candidate; archive_file=Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019.mp4
airfryer-005,Air Fryer,Air Fryer Bacon and Egg Toast Recipe,Internet Archive,https://archive.org/details/youtube-RaolUs_38zQ,In The Kitchen With Matt,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-RaolUs_38zQ,2026-07-22,355.24,854,480,und,air fryer breakfast cooking,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,af30c198eef94cae98d3b1c2ec8fc7ba6b0571979c2701c2d108dd8f0c33bd3a,development_candidate; archive_file=RaolUs_38zQ.mp4
airfryer-006,Air Fryer,Make Easy ' Air Fryer Oreos' At Home With Only 2 Ingredients,Internet Archive,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,Good Morning America,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,2026-07-21,31.18,360,360,eng,air fryer recipe procedure,machine_candidate,owner_authorized,owner_authorized,redistribution allowed,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,5cc4dcbc92d594d1f19086d5fc32570b59210ebf5a1b01f2bb31cb362fc17b40,development_candidate; archive_file=Make easy 'Air Fryer Oreos' at home with only 2 ingredients.mp4
airfryer-031,Air Fryer,videate_youtube_67lWuMjFuy8_948_-_We_Bought_An_Air_Fryer_-_The_Daily_Talk_Show,Internet Archive,https://archive.org/details/videate_youtube_67lWuMjFuy8_948_-_We_Bought_An_Air_Fryer_-_The_Daily_Talk_Show,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/videate_youtube_67lWuMjFuy8_948_-_We_Bought_An_Air_Fryer_-_The_Daily_Talk_Show,2026-07-22,2199.35,640,360,und,air fryer setup and use,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,f5eef18df1a5efcbad1822f35fc7892673cc9c61bdbaaf8338c028780354e27b,development_candidate; archive_file=videate_youtube_67lWuMjFuy8_948_-_We_Bought_An_Air_Fryer_-_The_Daily_Talk_Show.mp4
airfryer-008,Air Fryer,I Tested The Top 9 Air Fryers…These Are The 3 Best,Internet Archive,https://archive.org/details/youtube-Xt12oOxMGfU,Sprint Kitchen,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-Xt12oOxMGfU,2026-07-22,500.21,854,480,und,air fryer comparison and controls,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,a554d9e897b397882d1b7b839a0d750d2fa0bccbebc0e082129b1ae4dd5789c6,development_candidate; archive_file=Xt12oOxMGfU.mp4
airfryer-032,Air Fryer,How To Clean Your Air Fryer → SMELLY DIRTY NEW Watch THIS!,Internet Archive,https://archive.org/details/how-to-clean-your-air-fryer-smelly-dirty-new-watch-this,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/how-to-clean-your-air-fryer-smelly-dirty-new-watch-this,2026-07-22,533.73,1280,720,und,air fryer cleaning,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,19964dff8e507ce789c7219c5b2a68c6462322a0309cc0c5ea628b35ea28d4fb,development_candidate; archive_file=How to Clean Your Air Fryer → SMELLY_ DIRTY_ NEW_ Watch THIS!.mp4
airfryer-011,Air Fryer,Monterey Recreation Presents: That's Good! Air Fryer Grilled Cheese,Internet Archive,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,2026-07-21,108,854,480,English,air fryer cooking procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,d47a8a1077c51d764227d20be8f4e23b4f0fbd6d6f30df5a6c4b2e6f3c067038,development_candidate; archive_file=Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese.mp4
airfryer-033,Air Fryer,A DESTRUIÇÃO LEVA A CONSTRUÇÃO: AIRFRYER WALITA,Internet Archive,https://archive.org/details/ratao_frKY4As3ctXhnhf4,Archive contributor,CC-BY,https://creativecommons.org/licenses/by/3.0/,https://archive.org/details/ratao_frKY4As3ctXhnhf4,2026-07-22,1602.66,640,360,und,air fryer teardown and repair,machine_candidate,owner_authorized,owner_authorized,attribution required,pending_content_screen,owner_authorized_candidate,Owner-authorized download; pending automated scope and quality screening,Codex-machine-prescreen,,b3faa51963f29e704f6fd9c2e3e57f4b4a1cd2772c44eabf99d92e850287ba8c,development_candidate; archive_file=As3ctXhnhf4.ia.mp4
