record_id,product_class,archive_identifier,title,creator,description_excerpt,source_page_url,license_url,selected_file,selected_format,bytes,duration_seconds,width,height,matched_queries,discovery_score,selection_status,selection_reason
espresso-026,Espresso Machine,86424GoldenFragrance,""" GOLDEN FRAGRANCE "" 1940s COFFEE ASSOCIATION PROMOTIONAL FILM",Archive contributor,"The Coffee Publicity Association presents viewers the cultivation of coffee plants beginning with the harvest process, the sorting of the beans, and the process of turning the fruit into a commercial product. The film is based in Brazil and it was likely part of a promotional campaign to encourage more viewers to purchase the commodity. MacDonald Hobley; a notable British actor and writer, provides commentary for the film (:36). Two cultivators sift through dirt in a Brazil coffee farm (:49). Sm",https://archive.org/details/86424GoldenFragrance,,86424 Golden Fragrance.mp4,h.264,97637932,940.12,632,360,"description:(""espresso machine"")",9,selected_for_download,
espresso-025,Espresso Machine,youtube-mh0OtyP9Wm0,💸 Sneaky Starbucks Frappuccino ☕️ Money Hack 🧜‍♀️,How To Deduct Your Life with Piper Blush,"Brew Your Best Espresso, Without The Hassel: https://amzn.to/43Wj9HP ☕️ Get the same coffee machine as Piper Blush ☝️ 👍Join Our Group: https://www.facebook.com/groups/howtodeductyourlife 👈 📆 Daily Money Hacks Updates! 👋 Hello / Bonjour this is Piper Blush, your financial coach 👋 🤑 Welcome to ""How To Deduct Your Life""! Where you get richer by having fun 🤩 ✈️ Because who needs a fiscal paradise when you have YouTube? 🏝️ 💸 Let's ditch the traditional notions of finance and explore new ways to deduc",https://archive.org/details/youtube-mh0OtyP9Wm0,,mh0OtyP9Wm0.mp4,h.264,52556061,535.38,854,480,"description:(""espresso machine"")",9,selected_for_download,
espresso-027,Espresso Machine,youtube-qLbR0Fdfv5Q,Coffee: The Benefits and Side Effects,The Free World,Welcome to The Free World! Try the World's Strongest Coffee. https://amzn.to/2YnS0PB Buy Espresso Machine. https://amzn.to/2YekSWg Watch How to Prepare for a Marathon. https://www.youtube.com/watch?v=TpsDJln3L9M Watch video for full info!!! Coffee Origins Coffee Originates From Ethiopia.Coffee is a brewed drink made from the roasted seeds of various Coffea species of plants. These seeds are known as coffee beans. Popularity Coffee is Drank Around the Globe and is the 2nd Most Popular Drink in th,https://archive.org/details/youtube-qLbR0Fdfv5Q,,qLbR0Fdfv5Q.mp4,h.264,50465356,528.05,854,480,"description:(""espresso machine"")",8,selected_for_download,
espresso-028,Espresso Machine,youtube-_1Y60oOaWzg,The new EU CyberSecurity Act Or how to prevent the EU from becoming the worlds largest botnet hone…,FOSDEM,The new EU CyberSecurity Act Or how to prevent the EU from becoming the worlds largest botnet honeypot by Hans de Raad (OpenNovations) At: FOSDEM 2019 https://video.fosdem.org/2019/UD2.218A/eu_cybersecurity_act.webm Fibre to the home opens numerous interesting possibilities for both bona-fide and not so bona-fide use cases. Having your espresso machine or refrigerator being part of a multi-million device botnet which is attacking critical infrastructure might not necessarily be your first associ,https://archive.org/details/youtube-_1Y60oOaWzg,https://creativecommons.org/licenses/by/3.0/,The_new_EU_CyberSecurity_Act_Or_how_to_prevent_the_EU_from_becoming_the_worlds_largest_botnet_hone-_1Y60oOaWzg.mp4,MPEG4,72977085,1510.2,1280,720,"description:(""espresso machine"")",7,selected_for_download,
espresso-030,Espresso Machine,asmr-friendly-barista-fails-to-actually-recommend-you-coffee-barista,[ASMR] Friendly Barista Fails to Actually Recommend You Coffee [Barista],VividlyASMR,"It's a long day, and you're looking for some coffee to wake you up! You go into a coffeehouse, only to find the barista chewing out the espresso machine she's cleaning... ☕💚💗💚☕ Thank you to Phantasmic for commissioning this video! First, shoutout to FearlessLyn and her Flirty Barista series. ☕ As soon as I got this commission, I knew I had to reference your girl in some way. (Despite hating bitter stuff, my girl is apparently a very bitter bae.) Secondly, the opinions in this video are for the p",https://archive.org/details/asmr-friendly-barista-fails-to-actually-recommend-you-coffee-barista,,[ASMR] Friendly Barista Fails to Actually Recommend You Coffee [Barista].ia.mp4,h.264 IA,33290261,1056.25,1280,720,"description:(""espresso machine"")",6,selected_for_download,
espresso-029,Espresso Machine,zefrank-theshow-198,the show with zefrank - 2007-01-04,zefrank,"Das democrats took control of the Congress today and the remixes like that one are starting to come in; coincidence? I don’t know. (groan) But we’ll deal with matters of politique tomorrow; you know what day that is. Today we tackle something infinitely more important, a matter of national security perhaps. Some of you have noticed that from time to time I take two dollars and five cents out of the jar in which I save small change for the poor and with that money I buy myself a cup of Starbucks ",https://archive.org/details/zefrank-theshow-198,,2007-01-04.mp4,h.264,18846376,216.9,350,248,"description:(""espresso machine"")",6,selected_for_download,
espresso-035,Espresso Machine,Clarencegiottocleaningprocedure,giotto cleaning procedure,Clarence,show howto cleaning your ECM giotto espresso machine,https://archive.org/details/Clarencegiottocleaningprocedure,http://creativecommons.org/licenses/by-nc-nd/2.0/tw/,giotto_cleaning_512kb.mp4,512Kb MPEG4,25886113,356.22,320,240,"description:(""espresso machine"")",5,selected_for_download,
espresso-034,Espresso Machine,ExpressoMachine-AnthonysEspresso,Expresso Machine - Anthony’s Espresso,Archive contributor,Video Transcription: Anthony’s Espresso Equipment specializes in everything related to brewing the perfect cup of espresso. Order a high-quality espresso machine and enjoy free shipping in Canada on orders over $69.00 (not including tax). Go to anthonysespresso.com or call 905-264-0433 to order.,https://archive.org/details/ExpressoMachine-AnthonysEspresso,,anthonysespresso.com - Expresso Machine - Anthony’s Espresso.mp4,MPEG4,14385021,18.5,1920,1080,"description:(""espresso machine"")",5,selected_for_download,
espresso-032,Espresso Machine,cowtxv-Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco,Taste of Waco: BRU Artisan Coffee Works (We Are Waco),WCCC.TV - City of Waco,"As part of our We Are Waco series, enjoy a 'Taste of Waco' at BRU Artisan Coffee Works! Learn about the process from coffee bean to coffee in your cup, why they use a traditional espresso machine, why Waco is the place to have a business, and more! Showcasing Wacoans with local businesses, organizations, and talent, this series represents what we do, how we live & who we are... #WeAreWaco. #wacotexas #wacotx #TasteOfWaco",https://archive.org/details/cowtxv-Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco,,Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco.mp4,h.264,12444987,128.94,854,480,"description:(""espresso machine"")",5,selected_for_download,
espresso-033,Espresso Machine,wccctvtx-Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco,Taste of Waco: BRU Artisan Coffee Works (We Are Waco),WCCC.TV,"As part of our We Are Waco series, enjoy a 'Taste of Waco' at BRU Artisan Coffee Works! Learn about the process from coffee bean to coffee in your cup, why they use a traditional espresso machine, why Waco is the place to have a business, and more! Showcasing Wacoans with local businesses, organizations, and talent, this series represents what we do, how we live & who we are... #WeAreWaco. #wacotexas #wacotx #TasteOfWaco",https://archive.org/details/wccctvtx-Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco,,Taste_of_Waco_-_BRU_Artisan_Coffee_Works_We_Are_Waco.mp4,h.264,12498566,128.99,854,480,"description:(""espresso machine"")",5,selected_for_download,
espresso-031,Espresso Machine,youtube-B0-ui5X4tS8,"""...simply remove the screw...""",AvE,Fixing Gaggia Espresso Machine,https://archive.org/details/youtube-B0-ui5X4tS8,,B0-ui5X4tS8.mp4,h.264,3967612,38.72,854,480,"description:(""espresso machine"")",5,selected_for_download,
espresso-037,Espresso Machine,Ianmessenger-TheNewEra282,The New Era,Archive contributor,"...has arrived with the new espresso machine. Sadly, despite being the same model as the one which served me for 3 years, it is of lesser quality. It feels cheap and plasticy, it doesn't sit straight on the work surface, and is slower than the last. However, it works and it was only Â£17.99. Now if I can only get 3 years out of this one....",https://archive.org/details/Ianmessenger-TheNewEra282,http://creativecommons.org/licenses/by-nc-nd/2.0/,Ianmessenger-TheNewEra282_512kb.mp4,512Kb MPEG4,1184554,16.33,320,240,"description:(""espresso machine"")",4,selected_for_download,
espresso-036,Espresso Machine,SheldonPineoHelloIsThisThingWorking,Hello! Is This Thing Working?,Sheldon Pineo,16 seconds in the life of Icenrye while waiting for the espresso machine to warm up.,https://archive.org/details/SheldonPineoHelloIsThisThingWorking,http://creativecommons.org/licenses/by-nc-sa/2.5/,hello_512kb.mp4,512Kb MPEG4,1093484,16.48,320,240,"description:(""espresso machine"")",4,selected_for_download,
espresso-038,Espresso Machine,lfpaz-Litchfield_Perk_Litchfield_Park_s_Coffee_Gem,☕ Litchfield Perk – Litchfield Park’s Coffee Gem!,City of Litchfield Park,"Welcome to Litchfield Perk, a coffee shop with a Friends-inspired 90’s vibe and a nod to the community with its citrus-themed wallpaper. 🍊💜 🌟 The Dreamer: Ralph Arellanes 🌟 The Builder: Ivan Rogel Together, they’ve created a cozy, welcoming space where every detail—from the décor to the purple Italian espresso machine—makes for a one-of-a-kind coffee experience. ✨ Customer Favorites: “Exceptional cup of coffee, distinctive flavor, and an atmosphere you won’t forget!” “We absolutely love Litchfie",https://archive.org/details/lfpaz-Litchfield_Perk_Litchfield_Park_s_Coffee_Gem,,Litchfield_Perk_Litchfield_Park_s_Coffee_Gem.mp4,h.264,2507986,26.05,270,480,"description:(""espresso machine"")",4,selected_for_download,
,Espresso Machine,Facebook_LIVE_2018_Budget_Q_A_Promo,Facebook LIVE 2018 Budget Q&A Promo,Cottage Grove,Puppies? Bouncy House? Espresso Machine? Watch as departments ask for budget items. (Spoiler alert: These aren't real budget requests!) Cottage Grove goes LIVE on Facebook on August 23 to answer questions on the proposed city budget. www.cottage-grove.org,https://archive.org/details/Facebook_LIVE_2018_Budget_Q_A_Promo,,Facebook_LIVE_2018_Budget_Q_A_Promo.mp4,h.264,22540974,217.64,640,360,"description:(""espresso machine"")",4,eligible,
,Espresso Machine,Tech_News_Today_1029,Tech News Today 1029: Brainy Baristas,TWiT,"Chinese government revealed Microsoft’s secret list of Android-killer patents, The US Department of Transportation wants the power to regulate maps apps on your smartphone, Starbucks announced subsidized university education for employees, Domino hackers reveal their demand of 30,000 Euros, Level 3 Communications plans to buy TW Telecom, Astronauts on the International Space Station are getting an espresso machine, and more.",https://archive.org/details/Tech_News_Today_1029,http://creativecommons.org/licenses/by-nc-sa/3.0/,tnt1029_h264m_864x480_500.mp4,MPEG4,109106630,1442.91,853,480,"description:(""espresso machine"")",4,eligible,
,Espresso Machine,cctv17vt-Cooking_in_Harmony_-_Martinis_and_Cocktails,Cooking in Harmony: Martinis and Cocktails,CCTV17,"From Harmony Edosomwan: Harmony Edosomwan, Founder of Harmony's Kitchen, prepares cocktails with her sister Ivory Edosomwan, a mixologist. Together they make a Vermont Espresso Martini. Drawing on the deep roots of Southern, Nigerian, and Latinx cultures, Harmony’s Kitchen brings authentic Afrofusion Soul Food to Vermont. Founded in 2020 by Harmony Edosomwan, a Bronx native and proud Nigerian American, Harmony’s Kitchen began as a small venture while she attended the University of Vermont. Initi",https://archive.org/details/cctv17vt-Cooking_in_Harmony_-_Martinis_and_Cocktails,https://creativecommons.org/licenses/by-nc-sa/4.0/,Cooking_in_Harmony_-_Martinis_and_Cocktails.mp4,h.264,146368480,1514.03,854,480,"description:(""espresso machine"")",4,reject_metadata,negative terms: martini
,Espresso Machine,dtns20240805,DTNS 20240805,Tom Merritt,"Is the AI Tech Bubble Popping? - DTNS 4825 As Nvidia runs into delays producing its next-gen Blackwell B200 chips and startup AI chip competitor Groq lands new funding some investors are questioning if generative AI is really ready for primetime. Plus OpenAI is looking into watermarking content produced by ChatGPT and we pick our favorite new tech product from the headlines. Starring Tom Merritt, Justin Robert Young, Roger Chang, Joe. Link to the Show Notes . Quick Hits: https://finance.yahoo.co",https://archive.org/details/dtns20240805,https://creativecommons.org/licenses/by-nd/4.0/,,,,,,,"description:(""espresso machine"")",4,reject_file,no bounded video file
,Espresso Machine,M8Tf4ZJ5fyUAgSBi0dWckiIG4EELPP,""" ISRAEL LAND OF CONTRASTS "" 1950s STATE OF ISRAEL TOURISM & DEVELOPMENT FILM 92324",Archive contributor,"This film titled “Israel - Land of Contrasts” is believed to have been produced circa the early 1950s. It portrays the flow of Jewish immigrants and the creation of the State of Israel. The film was created and presented by the Tourist Center and the Public Relations Department of the Ministry of Commerce and Industry of the State of Israel. Like many Israeli films from this era, the movie promotes the ideas of Zionism and was likely used both to promote tourism and to fundraise for the nascent ",https://archive.org/details/M8Tf4ZJ5fyUAgSBi0dWckiIG4EELPP,,,,,,,,"description:(""espresso machine"")",2,reject_file,negative terms: music; no bounded video file
,Espresso Machine,TikTok-7385225284200566017,dc:me song:Espresso - Sabrina Carpenter @Sabrina Carpenter #espresso #sabrinacarpenter #dance #emoji #emojidance #emojichallenge #tutorial,kohkun018,dc:me song:Espresso - Sabrina Carpenter @Sabrina Carpenter #espresso #sabrinacarpenter #dance #emoji #emojidance #emojichallenge #tutorial,https://archive.org/details/TikTok-7385225284200566017,,7385225284200566017.ia.mp4,h.264 IA,1001385,10.07,270,480,title:(espresso tutorial),1,reject_metadata,negative terms: song
