record_id,status,language,language_probability,audio_duration_seconds,segment_count,word_count,model,device,device_index,compute_type,processed_at,error
airfryer-002,success,en,0.999512,357.843,42,657,large-v3,cuda,0,float16,2026-07-22T12:51:37.872828+00:00,
airfryer-005,success,en,1.000000,355.207,108,905,large-v3,cuda,0,float16,2026-07-22T12:53:00.171213+00:00,
airfryer-006,success,en,0.998535,31.184,14,73,large-v3,cuda,0,float16,2026-07-22T12:53:08.391921+00:00,
airfryer-011,success,en,0.998535,107.950,7,114,large-v3,cuda,0,float16,2026-07-22T12:53:18.403080+00:00,
camera-001,success,en,0.997070,266.061,55,759,large-v3,cuda,0,float16,2026-07-22T12:54:14.987485+00:00,
espresso-001,success,en,0.999512,54.336,7,111,large-v3,cuda,0,float16,2026-07-22T12:54:24.849299+00:00,
espresso-002,success,nn,0.613281,44.680,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:25.771593+00:00,
espresso-003,success,nn,0.613281,140.945,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:28.023952+00:00,
espresso-004,success,en,0.994629,88.676,3,47,large-v3,cuda,0,float16,2026-07-22T12:54:34.293303+00:00,
espresso-005,success,en,0.464111,55.857,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:36.062113+00:00,
espresso-006,success,nn,0.613281,49.352,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:37.010997+00:00,
espresso-008,success,nn,0.613281,60.774,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:38.111915+00:00,
espresso-009,success,nn,0.613281,83.807,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:39.537607+00:00,
espresso-015,success,nn,0.613281,42.941,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:40.376883+00:00,
espresso-016,success,nn,0.613281,15.750,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:40.833284+00:00,
pressure-001,success,nn,0.613281,120.647,0,0,large-v3,cuda,0,float16,2026-07-22T12:54:42.790194+00:00,
pressure-006,success,en,0.994629,59.931,5,82,large-v3,cuda,0,float16,2026-07-22T12:54:51.601184+00:00,
pressure-010,success,en,1.000000,251.077,41,609,large-v3,cuda,0,float16,2026-07-22T12:55:37.031889+00:00,
pressure-011,success,en,0.995605,316.790,48,641,large-v3,cuda,0,float16,2026-07-22T12:56:26.976149+00:00,
pressure-012,success,nn,0.613281,115.566,0,0,large-v3,cuda,0,float16,2026-07-22T20:27:19.898718+00:00,
printer-001,success,nn,0.613281,33.807,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:27.702020+00:00,
printer-003,success,nn,0.613281,95.404,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:29.297550+00:00,
printer-006,success,pt,1.000000,155.731,18,230,large-v3,cuda,0,float16,2026-07-22T12:56:52.240211+00:00,
vacuum-001,success,nn,0.613281,26.506,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:52.863312+00:00,
vacuum-002,success,nn,0.613281,30.936,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:53.545507+00:00,
vacuum-003,success,nn,0.613281,15.449,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:54.009835+00:00,
vacuum-008,success,nn,0.613281,123.822,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:56.009682+00:00,
vacuum-009,success,nn,0.613281,41.517,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:56.846214+00:00,
vacuum-010,success,nn,0.613281,74.688,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:58.151721+00:00,
washing-001,success,nn,0.613281,15.777,0,0,large-v3,cuda,0,float16,2026-07-22T12:56:58.619934+00:00,
washing-002,success,jw,0.298828,23.595,0,0,large-v3,cuda,0,float16,2026-07-22T12:57:02.964481+00:00,
washing-003,success,nn,0.613281,26.865,0,0,large-v3,cuda,0,float16,2026-07-22T12:57:03.585651+00:00,
washing-007,success,none,0.000000,0.000,0,0,large-v3,cuda,0,float16,2026-07-22T12:57:03.630155+00:00,
washing-009,success,nn,0.613281,30.446,0,0,large-v3,cuda,0,float16,2026-07-22T12:57:04.304515+00:00,
washing-011,success,nn,0.613281,102.573,0,0,large-v3,cuda,0,float16,2026-07-22T12:57:06.004162+00:00,
