segment_id,record_id,start_seconds,end_seconds,text,language,language_probability,avg_log_probability,no_speech_probability,compression_ratio,words_json,model
airfryer-002-asr-0001,airfryer-002,11.570,17.590,Hello everyone and welcome to the library kitchen here at the Gloucester County Public Library. I'm Chris and today,en,0.999512,-0.184073,0.005219,1.649446,"[{""start"":11.57,""end"":11.93,""word"":"" Hello"",""probability"":0.950195},{""start"":11.93,""end"":12.21,""word"":"" everyone"",""probability"":0.844238},{""start"":12.21,""end"":12.47,""word"":"" and"",""probability"":0.808594},{""start"":12.47,""end"":12.65,""word"":"" welcome"",""probability"":0.99707},{""start"":12.65,""end"":12.87,""word"":"" to"",""probability"":0.999023},{""start"":12.87,""end"":13.01,""word"":"" the"",""probability"":0.779785},{""start"":13.01,""end"":13.27,""word"":"" library"",""probability"":0.638184},{""start"":13.27,""end"":13.59,""word"":"" kitchen"",""probability"":0.996582},{""start"":13.59,""end"":14.23,""word"":"" here"",""probability"":0.907227},{""start"":14.23,""end"":14.39,""word"":"" at"",""probability"":0.99707},{""start"":14.39,""end"":14.55,""word"":"" the"",""probability"":0.995605},{""start"":14.55,""end"":14.93,""word"":"" Gloucester"",""probability"":0.981323},{""start"":14.93,""end"":15.17,""word"":"" County"",""probability"":0.95752},{""start"":15.17,""end"":15.45,""word"":"" Public"",""probability"":0.974609},{""start"":15.45,""end"":15.91,""word"":"" Library."",""probability"":0.985352},{""start"":16.11,""end"":16.29,""word"":"" I'm"",""probability"":0.992188},{""start"":16.29,""end"":16.57,""word"":"" Chris"",""probability"":0.933594},{""start"":16.57,""end"":17.09,""word"":"" and"",""probability"":0.800293},{""start"":17.09,""end"":17.59,""word"":"" today"",""probability"":0.996582}]",large-v3
airfryer-002-asr-0002,airfryer-002,17.590,24.030,we're making a sweet treat and guess what an air fryer because air fryers are more than just making,en,0.999512,-0.184073,0.005219,1.649446,"[{""start"":17.59,""end"":18.23,""word"":"" we're"",""probability"":0.968506},{""start"":18.23,""end"":18.55,""word"":"" making"",""probability"":0.998535},{""start"":18.55,""end"":18.71,""word"":"" a"",""probability"":0.993164},{""start"":18.71,""end"":19.01,""word"":"" sweet"",""probability"":0.998047},{""start"":19.01,""end"":19.37,""word"":"" treat"",""probability"":0.999512},{""start"":19.37,""end"":20.11,""word"":"" and"",""probability"":0.655762},{""start"":20.11,""end"":20.37,""word"":"" guess"",""probability"":0.973145},{""start"":20.37,""end"":20.65,""word"":"" what"",""probability"":0.997559},{""start"":20.65,""end"":21.13,""word"":"" an"",""probability"":0.2771},{""start"":21.13,""end"":21.37,""word"":"" air"",""probability"":0.984375},{""start"":21.37,""end"":21.81,""word"":"" fryer"",""probability"":0.969238},{""start"":21.81,""end"":22.35,""word"":"" because"",""probability"":0.587402},{""start"":22.35,""end"":22.61,""word"":"" air"",""probability"":0.996094},{""start"":22.61,""end"":23.07,""word"":"" fryers"",""probability"":0.986084},{""start"":23.07,""end"":23.13,""word"":"" are"",""probability"":0.998535},{""start"":23.13,""end"":23.31,""word"":"" more"",""probability"":0.999512},{""start"":23.31,""end"":23.51,""word"":"" than"",""probability"":0.999512},{""start"":23.51,""end"":23.71,""word"":"" just"",""probability"":0.999023},{""start"":23.71,""end"":24.03,""word"":"" making"",""probability"":0.999023}]",large-v3
airfryer-002-asr-0003,airfryer-002,24.030,26.730,"tater tots, french fries, and mozzarella sticks.",en,0.999512,-0.184073,0.005219,1.649446,"[{""start"":24.03,""end"":24.71,""word"":"" tater"",""probability"":0.985596},{""start"":24.71,""end"":24.91,""word"":"" tots,"",""probability"":0.988281},{""start"":25.09,""end"":25.25,""word"":"" french"",""probability"":0.934082},{""start"":25.25,""end"":25.67,""word"":"" fries,"",""probability"":0.998535},{""start"":25.73,""end"":25.97,""word"":"" and"",""probability"":0.999023},{""start"":25.97,""end"":26.29,""word"":"" mozzarella"",""probability"":0.994629},{""start"":26.29,""end"":26.73,""word"":"" sticks."",""probability"":0.998535}]",large-v3
airfryer-002-asr-0004,airfryer-002,27.130,32.290,"So we're going to be making a version of deep-fried Oreos, but in this case",en,0.999512,-0.184073,0.005219,1.649446,"[{""start"":27.13,""end"":27.69,""word"":"" So"",""probability"":0.946289},{""start"":27.69,""end"":27.87,""word"":"" we're"",""probability"":0.962891},{""start"":27.87,""end"":27.97,""word"":"" going"",""probability"":0.972168},{""start"":27.97,""end"":28.07,""word"":"" to"",""probability"":0.999023},{""start"":28.07,""end"":28.17,""word"":"" be"",""probability"":1.0},{""start"":28.17,""end"":28.51,""word"":"" making"",""probability"":1.0},{""start"":28.51,""end"":29.15,""word"":"" a"",""probability"":0.999512},{""start"":29.15,""end"":29.65,""word"":"" version"",""probability"":0.999512},{""start"":29.65,""end"":29.89,""word"":"" of"",""probability"":1.0},{""start"":29.89,""end"":30.21,""word"":"" deep"",""probability"":0.983398},{""start"":30.21,""end"":30.49,""word"":""-fried"",""probability"":0.610596},{""start"":30.49,""end"":31.17,""word"":"" Oreos,"",""probability"":0.71228},{""start"":31.17,""end"":31.71,""word"":"" but"",""probability"":0.994629},{""start"":31.71,""end"":31.81,""word"":"" in"",""probability"":0.996094},{""start"":31.81,""end"":31.99,""word"":"" this"",""probability"":1.0},{""start"":31.99,""end"":32.29,""word"":"" case"",""probability"":1.0}]",large-v3
airfryer-002-asr-0005,airfryer-002,32.290,38.310,it's going to be an air fryer Oreo and it doesn't take but only a few ingredients and about seven minutes.,en,0.999512,-0.184073,0.005219,1.649446,"[{""start"":32.29,""end"":32.67,""word"":"" it's"",""probability"":0.869873},{""start"":32.67,""end"":32.77,""word"":"" going"",""probability"":0.986328},{""start"":32.77,""end"":32.87,""word"":"" to"",""probability"":0.999023},{""start"":32.87,""end"":32.99,""word"":"" be"",""probability"":1.0},{""start"":32.99,""end"":33.13,""word"":"" an"",""probability"":0.999023},{""start"":33.13,""end"":33.43,""word"":"" air"",""probability"":0.976562},{""start"":33.43,""end"":33.81,""word"":"" fryer"",""probability"":0.950195},{""start"":33.81,""end"":34.21,""word"":"" Oreo"",""probability"":0.928711},{""start"":34.21,""end"":34.95,""word"":"" and"",""probability"":0.612305},{""start"":34.95,""end"":35.09,""word"":"" it"",""probability"":0.998535},{""start"":35.09,""end"":35.37,""word"":"" doesn't"",""probability"":0.999023},{""start"":35.37,""end"":35.59,""word"":"" take"",""probability"":0.999023},{""start"":35.59,""end"":35.79,""word"":"" but"",""probability"":0.963379},{""start"":35.79,""end"":36.01,""word"":"" only"",""probability"":0.999023},{""start"":36.01,""end"":36.11,""word"":"" a"",""probability"":0.999512},{""start"":36.11,""end"":36.33,""word"":"" few"",""probability"":1.0},{""start"":36.33,""end"":36.81,""word"":"" ingredients"",""probability"":0.999512},{""start"":36.81,""end"":37.35,""word"":"" and"",""probability"":0.763672},{""start"":37.35,""end"":37.53,""word"":"" about"",""probability"":0.998047},{""start"":37.53,""end"":37.93,""word"":"" seven"",""probability"":0.922363},{""start"":37.93,""end"":38.31,""word"":"" minutes."",""probability"":0.999512}]",large-v3
airfryer-002-asr-0006,airfryer-002,39.210,45.010,So let's get started with our ingredients. We're going to use one box of puff pastry dough,en,0.999512,-0.085937,0.002150,1.680556,"[{""start"":39.21,""end"":39.81,""word"":"" So"",""probability"":0.881836},{""start"":39.81,""end"":40.13,""word"":"" let's"",""probability"":0.912354},{""start"":40.13,""end"":40.23,""word"":"" get"",""probability"":0.999512},{""start"":40.23,""end"":40.59,""word"":"" started"",""probability"":0.999512},{""start"":40.59,""end"":40.81,""word"":"" with"",""probability"":0.999023},{""start"":40.81,""end"":40.99,""word"":"" our"",""probability"":0.999512},{""start"":40.99,""end"":41.37,""word"":"" ingredients."",""probability"":0.999023},{""start"":41.57,""end"":41.97,""word"":"" We're"",""probability"":0.993164},{""start"":41.97,""end"":42.05,""word"":"" going"",""probability"":0.851562},{""start"":42.05,""end"":42.17,""word"":"" to"",""probability"":0.999512},{""start"":42.17,""end"":42.37,""word"":"" use"",""probability"":0.999512},{""start"":42.37,""end"":42.81,""word"":"" one"",""probability"":0.971191},{""start"":42.81,""end"":43.25,""word"":"" box"",""probability"":1.0},{""start"":43.25,""end"":43.71,""word"":"" of"",""probability"":0.999023},{""start"":43.71,""end"":44.19,""word"":"" puff"",""probability"":0.992676},{""start"":44.19,""end"":44.55,""word"":"" pastry"",""probability"":0.999512},{""start"":44.55,""end"":45.01,""word"":"" dough"",""probability"":0.999023}]",large-v3
airfryer-002-asr-0007,airfryer-002,46.210,52.390,thawed. We're going to use some oreo cookies. Now there's an assortment of oreo cookies here,en,0.999512,-0.085937,0.002150,1.680556,"[{""start"":46.21,""end"":46.81,""word"":"" thawed."",""probability"":0.700033},{""start"":47.05,""end"":47.65,""word"":"" We're"",""probability"":0.997314},{""start"":47.65,""end"":47.81,""word"":"" going"",""probability"":1.0},{""start"":47.81,""end"":48.03,""word"":"" to"",""probability"":1.0},{""start"":48.03,""end"":48.41,""word"":"" use"",""probability"":1.0},{""start"":48.41,""end"":48.89,""word"":"" some"",""probability"":0.999023},{""start"":48.89,""end"":49.37,""word"":"" oreo"",""probability"":0.539429},{""start"":49.37,""end"":49.65,""word"":"" cookies."",""probability"":1.0},{""start"":49.91,""end"":50.17,""word"":"" Now"",""probability"":0.994141},{""start"":50.17,""end"":50.83,""word"":"" there's"",""probability"":0.772949},{""start"":50.83,""end"":50.93,""word"":"" an"",""probability"":0.999512},{""start"":50.93,""end"":51.39,""word"":"" assortment"",""probability"":1.0},{""start"":51.39,""end"":51.51,""word"":"" of"",""probability"":0.999023},{""start"":51.51,""end"":51.85,""word"":"" oreo"",""probability"":0.998779},{""start"":51.85,""end"":52.09,""word"":"" cookies"",""probability"":1.0},{""start"":52.09,""end"":52.39,""word"":"" here"",""probability"":0.998535}]",large-v3
airfryer-002-asr-0008,airfryer-002,52.390,57.770,"on my plate. There are some peanut butter chocolate oreos, some double stuffed oreos,",en,0.999512,-0.085937,0.002150,1.680556,"[{""start"":52.39,""end"":52.51,""word"":"" on"",""probability"":0.999512},{""start"":52.51,""end"":52.63,""word"":"" my"",""probability"":0.999512},{""start"":52.63,""end"":52.95,""word"":"" plate."",""probability"":0.999512},{""start"":53.07,""end"":53.33,""word"":"" There"",""probability"":0.99707},{""start"":53.33,""end"":53.55,""word"":"" are"",""probability"":0.999512},{""start"":53.55,""end"":53.87,""word"":"" some"",""probability"":0.999512},{""start"":53.87,""end"":54.25,""word"":"" peanut"",""probability"":0.999512},{""start"":54.25,""end"":54.49,""word"":"" butter"",""probability"":0.999512},{""start"":54.49,""end"":54.77,""word"":"" chocolate"",""probability"":0.995605},{""start"":54.77,""end"":55.59,""word"":"" oreos,"",""probability"":0.994385},{""start"":55.61,""end"":56.19,""word"":"" some"",""probability"":0.999512},{""start"":56.19,""end"":56.67,""word"":"" double"",""probability"":0.966309},{""start"":56.67,""end"":56.99,""word"":"" stuffed"",""probability"":0.758301},{""start"":56.99,""end"":57.77,""word"":"" oreos,"",""probability"":0.999268}]",large-v3
airfryer-002-asr-0009,airfryer-002,57.770,65.150,and some chocolate chocolate oreos. Also I've cut up a couple pieces of brownie to put in our,en,0.999512,-0.085937,0.002150,1.680556,"[{""start"":57.77,""end"":57.99,""word"":"" and"",""probability"":1.0},{""start"":57.99,""end"":58.19,""word"":"" some"",""probability"":1.0},{""start"":58.19,""end"":59.01,""word"":"" chocolate"",""probability"":0.999512},{""start"":59.01,""end"":59.51,""word"":"" chocolate"",""probability"":0.98584},{""start"":59.51,""end"":60.59,""word"":"" oreos."",""probability"":0.999512},{""start"":60.93,""end"":61.53,""word"":"" Also"",""probability"":0.999512},{""start"":61.53,""end"":62.45,""word"":"" I've"",""probability"":0.739746},{""start"":62.45,""end"":62.69,""word"":"" cut"",""probability"":1.0},{""start"":62.69,""end"":62.85,""word"":"" up"",""probability"":1.0},{""start"":62.85,""end"":62.99,""word"":"" a"",""probability"":1.0},{""start"":62.99,""end"":63.17,""word"":"" couple"",""probability"":0.999512},{""start"":63.17,""end"":63.41,""word"":"" pieces"",""probability"":0.998535},{""start"":63.41,""end"":63.75,""word"":"" of"",""probability"":1.0},{""start"":63.75,""end"":64.23,""word"":"" brownie"",""probability"":0.991943},{""start"":64.23,""end"":64.61,""word"":"" to"",""probability"":0.999512},{""start"":64.61,""end"":64.81,""word"":"" put"",""probability"":1.0},{""start"":64.81,""end"":64.95,""word"":"" in"",""probability"":0.998047},{""start"":64.95,""end"":65.15,""word"":"" our"",""probability"":1.0}]",large-v3
airfryer-002-asr-0010,airfryer-002,65.150,71.050,puff pastry. So we're going to start by rolling out our puff pastry dough on our,en,0.999512,-0.091930,0.012817,1.878641,"[{""start"":65.15,""end"":65.55,""word"":"" puff"",""probability"":0.401611},{""start"":65.55,""end"":65.97,""word"":"" pastry."",""probability"":0.99707},{""start"":66.75,""end"":67.27,""word"":"" So"",""probability"":0.906738},{""start"":67.27,""end"":67.43,""word"":"" we're"",""probability"":0.921875},{""start"":67.43,""end"":67.49,""word"":"" going"",""probability"":0.695801},{""start"":67.49,""end"":67.59,""word"":"" to"",""probability"":0.997559},{""start"":67.59,""end"":67.89,""word"":"" start"",""probability"":0.999512},{""start"":67.89,""end"":68.41,""word"":"" by"",""probability"":0.999023},{""start"":68.41,""end"":69.15,""word"":"" rolling"",""probability"":0.999023},{""start"":69.15,""end"":69.39,""word"":"" out"",""probability"":0.993652},{""start"":69.39,""end"":69.61,""word"":"" our"",""probability"":0.998047},{""start"":69.61,""end"":69.83,""word"":"" puff"",""probability"":0.999512},{""start"":69.83,""end"":70.15,""word"":"" pastry"",""probability"":0.999512},{""start"":70.15,""end"":70.53,""word"":"" dough"",""probability"":0.999023},{""start"":70.53,""end"":70.85,""word"":"" on"",""probability"":0.991211},{""start"":70.85,""end"":71.05,""word"":"" our"",""probability"":0.998047}]",large-v3
