record_id,product_class,title,source_platform,candidate_split,local_path,source_sha256,receipt_sha256,bytes,duration_seconds,fps,width,height,video_codec,audio_present,sample_frame_paths,sample_frame_count,duplicate_of,technical_decision,technical_reasons,content_decision,content_reason,screened_at
espresso-004,Espresso Machine,Der perfekte Espresso aus dem Siebträger.ogv,Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/espresso-004.webm,cd09ba95b536437322a1bc161abbcb32281b8e1fe4ec0fb849542d39ff9e302d,cd09ba95b536437322a1bc161abbcb32281b8e1fe4ec0fb849542d39ff9e302d,3911342,88.680,23.98,854,480,vp9,yes,data_video/review/candidate_frames/espresso-004/sample_01.jpg|data_video/review/candidate_frames/espresso-004/sample_02.jpg|data_video/review/candidate_frames/espresso-004/sample_03.jpg|data_video/review/candidate_frames/espresso-004/sample_04.jpg|data_video/review/candidate_frames/espresso-004/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:52:51.116400+00:00
espresso-005,Espresso Machine,"Morning Espresso Routine - Progress, Results, Observations and Miscellany.webm",Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/espresso-005.webm,bc21ca95d53ebc6e89bc0bda6c15f03e0e842ad4c4ca4302439a52377c5d2ea7,bc21ca95d53ebc6e89bc0bda6c15f03e0e842ad4c4ca4302439a52377c5d2ea7,3657231,55.870,29.97,854,480,vp9,yes,data_video/review/candidate_frames/espresso-005/sample_01.jpg|data_video/review/candidate_frames/espresso-005/sample_02.jpg|data_video/review/candidate_frames/espresso-005/sample_03.jpg|data_video/review/candidate_frames/espresso-005/sample_04.jpg|data_video/review/candidate_frames/espresso-005/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:52:54.415762+00:00
espresso-006,Espresso Machine,Приготовление макиато.webm,Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/espresso-006.webm,28a7eb41cf5436c8f07326544cbe26283ca15b734221be1bcaa8da46ddcd3fb4,28a7eb41cf5436c8f07326544cbe26283ca15b734221be1bcaa8da46ddcd3fb4,996224,49.410,25.0,388,480,vp9,yes,data_video/review/candidate_frames/espresso-006/sample_01.jpg|data_video/review/candidate_frames/espresso-006/sample_02.jpg|data_video/review/candidate_frames/espresso-006/sample_03.jpg|data_video/review/candidate_frames/espresso-006/sample_04.jpg|data_video/review/candidate_frames/espresso-006/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:52:57.255998+00:00
espresso-007,Espresso Machine,Kahvin tiputtelu Moccamasterilla.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-007.webm,2b841eb8885058710db70bb4b300c5129b82bec6a36573c9692c4942862de03b,2b841eb8885058710db70bb4b300c5129b82bec6a36573c9692c4942862de03b,14014717,259.810,25.0,854,480,vp9,yes,data_video/review/candidate_frames/espresso-007/sample_01.jpg|data_video/review/candidate_frames/espresso-007/sample_02.jpg|data_video/review/candidate_frames/espresso-007/sample_03.jpg|data_video/review/candidate_frames/espresso-007/sample_04.jpg|data_video/review/candidate_frames/espresso-007/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:00.821610+00:00
espresso-008,Espresso Machine,"Machine à café à l'hôtel de la Cloche (Dole, Jura, France).webm",Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-008.webm,751d98992d4fefbae1320347c13336b302194c681bc6f275451efba45f8041b8,751d98992d4fefbae1320347c13336b302194c681bc6f275451efba45f8041b8,1254486,60.800,600.0,854,480,vp9,yes,data_video/review/candidate_frames/espresso-008/sample_01.jpg|data_video/review/candidate_frames/espresso-008/sample_02.jpg|data_video/review/candidate_frames/espresso-008/sample_03.jpg|data_video/review/candidate_frames/espresso-008/sample_04.jpg|data_video/review/candidate_frames/espresso-008/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:03.792021+00:00
espresso-009,Espresso Machine,Tassimo coffee system.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-009.webm,8f6db2a60da5b7ef3c596daefa5347b8ef153a7225720e25d70f1d0b9e2ece09,8f6db2a60da5b7ef3c596daefa5347b8ef153a7225720e25d70f1d0b9e2ece09,8044347,83.820,30.0,854,480,vp9,yes,data_video/review/candidate_frames/espresso-009/sample_01.jpg|data_video/review/candidate_frames/espresso-009/sample_02.jpg|data_video/review/candidate_frames/espresso-009/sample_03.jpg|data_video/review/candidate_frames/espresso-009/sample_04.jpg|data_video/review/candidate_frames/espresso-009/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:09.249518+00:00
espresso-010,Espresso Machine,The bean that could save coffee from climate change.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-010.webm,7b0827187222876c5df24dd8299145df2a4029166861519412c6804c95a1bc14,7b0827187222876c5df24dd8299145df2a4029166861519412c6804c95a1bc14,66945325,672.380,25.0,854,480,vp9,yes,data_video/review/candidate_frames/espresso-010/sample_01.jpg|data_video/review/candidate_frames/espresso-010/sample_02.jpg|data_video/review/candidate_frames/espresso-010/sample_03.jpg|data_video/review/candidate_frames/espresso-010/sample_04.jpg|data_video/review/candidate_frames/espresso-010/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:13.156551+00:00
espresso-011,Espresso Machine,I Am CDC - Amanda MacGurn.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-011.webm,e75ea656d656ee0f21da2b0a3092ca6d514afdd97b6c8d9040760c7b04bd9e3e,e75ea656d656ee0f21da2b0a3092ca6d514afdd97b6c8d9040760c7b04bd9e3e,7616256,90.990,29.97,854,480,vp9,yes,data_video/review/candidate_frames/espresso-011/sample_01.jpg|data_video/review/candidate_frames/espresso-011/sample_02.jpg|data_video/review/candidate_frames/espresso-011/sample_03.jpg|data_video/review/candidate_frames/espresso-011/sample_04.jpg|data_video/review/candidate_frames/espresso-011/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:15.680188+00:00
espresso-012,Espresso Machine,Know Your Crew...Four!.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-012.webm,218d5a644db47689a43a1e83df7deb25b4751574b3a7d9b17b1f26f98d95a9b0,218d5a644db47689a43a1e83df7deb25b4751574b3a7d9b17b1f26f98d95a9b0,42275586,261.490,59.94,854,480,vp9,yes,data_video/review/candidate_frames/espresso-012/sample_01.jpg|data_video/review/candidate_frames/espresso-012/sample_02.jpg|data_video/review/candidate_frames/espresso-012/sample_03.jpg|data_video/review/candidate_frames/espresso-012/sample_04.jpg|data_video/review/candidate_frames/espresso-012/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:19.229285+00:00
espresso-013,Espresso Machine,Latte art flower - 01.ogv,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-013.webm,bef3095371f97f37ed0f05bff7d509fa08fa978f61db820ab6da747dcb30b91c,bef3095371f97f37ed0f05bff7d509fa08fa978f61db820ab6da747dcb30b91c,3901717,24.400,29.97,720,480,vp9,yes,data_video/review/candidate_frames/espresso-013/sample_01.jpg|data_video/review/candidate_frames/espresso-013/sample_02.jpg|data_video/review/candidate_frames/espresso-013/sample_03.jpg|data_video/review/candidate_frames/espresso-013/sample_04.jpg|data_video/review/candidate_frames/espresso-013/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:22.520155+00:00
espresso-014,Espresso Machine,Kaffe - Ystad-2024.ogg,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-014.webm,2bda209bde873040f52dcbad2b6c69afb126b0d15a4ef9b6505457d63c49f8c1,2bda209bde873040f52dcbad2b6c69afb126b0d15a4ef9b6505457d63c49f8c1,1234546,9.040,30.0,854,480,vp9,yes,data_video/review/candidate_frames/espresso-014/sample_01.jpg|data_video/review/candidate_frames/espresso-014/sample_02.jpg|data_video/review/candidate_frames/espresso-014/sample_03.jpg|data_video/review/candidate_frames/espresso-014/sample_04.jpg|data_video/review/candidate_frames/espresso-014/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:28.113495+00:00
espresso-015,Espresso Machine,Morning Espresso Routine (abridged version).webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-015.webm,26b894a7ce6689345efe2f8373c7d8201b3c4f89696f01d551b76ad539e5370e,26b894a7ce6689345efe2f8373c7d8201b3c4f89696f01d551b76ad539e5370e,3156537,43.150,29.97,854,480,vp9,yes,data_video/review/candidate_frames/espresso-015/sample_01.jpg|data_video/review/candidate_frames/espresso-015/sample_02.jpg|data_video/review/candidate_frames/espresso-015/sample_03.jpg|data_video/review/candidate_frames/espresso-015/sample_04.jpg|data_video/review/candidate_frames/espresso-015/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:31.294051+00:00
espresso-016,Espresso Machine,Sunday Morning Espresso Routine - Grind + distribute + tamp + extraction (15-Second Abridged Version).webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/espresso-016.webm,750ac463f30e74acc91ab8d02c96658107c86a822edb18a538124c5d561f0c31,750ac463f30e74acc91ab8d02c96658107c86a822edb18a538124c5d561f0c31,1314662,16.120,29.97,854,480,vp9,yes,data_video/review/candidate_frames/espresso-016/sample_01.jpg|data_video/review/candidate_frames/espresso-016/sample_02.jpg|data_video/review/candidate_frames/espresso-016/sample_03.jpg|data_video/review/candidate_frames/espresso-016/sample_04.jpg|data_video/review/candidate_frames/espresso-016/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:34.460021+00:00
pressure-002,Pressure Cooker,Home Made Alcohol Pressure Cooker Modification.webm,Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/pressure-002.webm,b9d041b14bb39f96c9fecc20314dde30d8a98f6584690d0abb6a44b5ac44f9c5,b9d041b14bb39f96c9fecc20314dde30d8a98f6584690d0abb6a44b5ac44f9c5,43517150,374.190,30.0,640,360,vp8,yes,data_video/review/candidate_frames/pressure-002/sample_01.jpg|data_video/review/candidate_frames/pressure-002/sample_02.jpg|data_video/review/candidate_frames/pressure-002/sample_03.jpg|data_video/review/candidate_frames/pressure-002/sample_04.jpg|data_video/review/candidate_frames/pressure-002/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:36.653608+00:00
pressure-003,Pressure Cooker,Secretaria Na Cozinha- Feijoada leve.webm,Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/pressure-003.webm,c1c89fbee5273c0e452cd1d30a91c881a187376347b0a76eb153596003776613,c1c89fbee5273c0e452cd1d30a91c881a187376347b0a76eb153596003776613,14727235,165.620,24.0,854,480,vp9,yes,data_video/review/candidate_frames/pressure-003/sample_01.jpg|data_video/review/candidate_frames/pressure-003/sample_02.jpg|data_video/review/candidate_frames/pressure-003/sample_03.jpg|data_video/review/candidate_frames/pressure-003/sample_04.jpg|data_video/review/candidate_frames/pressure-003/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:40.375274+00:00
printer-002,Printer,UV inkjet printing on letter box.ogv,Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/printer-002.webm,38923a075a905fbb31bb499672ce87437f4413f0c5e24da95e28706757770743,38923a075a905fbb31bb499672ce87437f4413f0c5e24da95e28706757770743,5430637,60.030,29.97,600,480,vp9,no,data_video/review/candidate_frames/printer-002/sample_01.jpg|data_video/review/candidate_frames/printer-002/sample_02.jpg|data_video/review/candidate_frames/printer-002/sample_03.jpg|data_video/review/candidate_frames/printer-002/sample_04.jpg|data_video/review/candidate_frames/printer-002/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:44.588097+00:00
printer-003,Printer,"Electronica 2025, Bangalore International Exhibition Centre, 16.webm",Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/printer-003.webm,6c2dece9f5027bb67bcf168b9cb516833b02f05c52696d07dcd43a492a9cb24f,6c2dece9f5027bb67bcf168b9cb516833b02f05c52696d07dcd43a492a9cb24f,11608308,95.430,30.0,854,480,vp9,yes,data_video/review/candidate_frames/printer-003/sample_01.jpg|data_video/review/candidate_frames/printer-003/sample_02.jpg|data_video/review/candidate_frames/printer-003/sample_03.jpg|data_video/review/candidate_frames/printer-003/sample_04.jpg|data_video/review/candidate_frames/printer-003/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:50.824466+00:00
printer-004,Printer,NIOSH Scientists Investigating Pollution From Office Equipment.webm,Wikimedia Commons,source_disjoint_test_candidate,data_video/raw/candidate_sources/printer-004.webm,24137c79f6c64e5d8a5c0b09a9345406691c780c293d67f432f7be0a708b502f,24137c79f6c64e5d8a5c0b09a9345406691c780c293d67f432f7be0a708b502f,1973765,72.510,29.97,854,480,vp9,yes,data_video/review/candidate_frames/printer-004/sample_01.jpg|data_video/review/candidate_frames/printer-004/sample_02.jpg|data_video/review/candidate_frames/printer-004/sample_03.jpg|data_video/review/candidate_frames/printer-004/sample_04.jpg|data_video/review/candidate_frames/printer-004/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:53.259415+00:00
printer-005,Printer,Space Station Live- 3-D Printing on the Station.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/printer-005.webm,9f1caf039bc3ddcb9dd4cc2b94404ff20150e2e7ed7a85ac012bd1b4515d22ce,9f1caf039bc3ddcb9dd4cc2b94404ff20150e2e7ed7a85ac012bd1b4515d22ce,49979276,443.030,29.97,854,480,vp9,yes,data_video/review/candidate_frames/printer-005/sample_01.jpg|data_video/review/candidate_frames/printer-005/sample_02.jpg|data_video/review/candidate_frames/printer-005/sample_03.jpg|data_video/review/candidate_frames/printer-005/sample_04.jpg|data_video/review/candidate_frames/printer-005/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:53:58.121709+00:00
printer-006,Printer,FALHA DO CARTUCHO DE TINTA - O QUE FAZER.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/printer-006.webm,e8e2ae0c31768243fd1d36391db1738a6c68bf9a707e0eba03ae8a8327048e25,e8e2ae0c31768243fd1d36391db1738a6c68bf9a707e0eba03ae8a8327048e25,12274015,155.740,29.97,854,480,vp9,yes,data_video/review/candidate_frames/printer-006/sample_01.jpg|data_video/review/candidate_frames/printer-006/sample_02.jpg|data_video/review/candidate_frames/printer-006/sample_03.jpg|data_video/review/candidate_frames/printer-006/sample_04.jpg|data_video/review/candidate_frames/printer-006/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:54:00.797736+00:00
printer-007,Printer,Wikipedia - 25 years of humanity at its best.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/printer-007.webm,5e25de418413a8169beca28177b1021c8910558e59c51ff98b26371c3a98fbaf,5e25de418413a8169beca28177b1021c8910558e59c51ff98b26371c3a98fbaf,34641727,235.570,60.0,854,480,vp9,yes,data_video/review/candidate_frames/printer-007/sample_01.jpg|data_video/review/candidate_frames/printer-007/sample_02.jpg|data_video/review/candidate_frames/printer-007/sample_03.jpg|data_video/review/candidate_frames/printer-007/sample_04.jpg|data_video/review/candidate_frames/printer-007/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:54:03.904137+00:00
printer-008,Printer,Space Station Live- Setting up a Machine Shop in Space.webm,Wikimedia Commons,development_candidate,data_video/raw/candidate_sources/printer-008.webm,59cb92c6666c9afed64f8f02b361e00518b6bb382f0853116fead449249dba54,59cb92c6666c9afed64f8f02b361e00518b6bb382f0853116fead449249dba54,38897032,375.260,29.97,854,480,vp9,yes,data_video/review/candidate_frames/printer-008/sample_01.jpg|data_video/review/candidate_frames/printer-008/sample_02.jpg|data_video/review/candidate_frames/printer-008/sample_03.jpg|data_video/review/candidate_frames/printer-008/sample_04.jpg|data_video/review/candidate_frames/printer-008/sample_05.jpg,5,,pass,,pending,,2026-07-21T10:54:07.700310+00:00
