record_id,source_path,source_sha256,source_variant,processed_at,status,duration_seconds,fps,width,height,video_codec,pixel_format,audio_status,audio_path,keyframe_interval_seconds,keyframe_count,keyframe_dir,ffmpeg_version,error
camera-001,data_video/raw/authorized_sources/camera-001.webm,871b69bf09dda7c6f7b865bc58cf2d942d802273536877d5d6a1a58fced1d6fb,wikimedia_transcode,2026-07-16T16:29:14.490001+00:00,success,266.07,29.97,854,480,vp9,"yuv420p(tv, progressive)",extracted,data_video/processed/camera-001/audio_16k_mono.wav,5,53,data_video/keyframes/camera-001,7.0.2-static,
espresso-001,data_video/raw/authorized_sources/espresso-001.ogv,1853f8dce07b802dc9ba4ce8a9e217baf53aed62b55dc53c7f21b07a876c860c,original,2026-07-16T16:29:15.320075+00:00,success,54.34,29.97,1280,720,theora,yuv420p,extracted,data_video/processed/espresso-001/audio_16k_mono.wav,5,11,data_video/keyframes/espresso-001,7.0.2-static,
espresso-002,data_video/raw/authorized_sources/espresso-002.ogv,5e3701e9a1d0caa489016d208cc66270048eddbc5bb2d0ccb0a3b26a419ce3b9,original,2026-07-16T16:29:16.247343+00:00,success,44.68,25.0,1920,1088,theora,yuv420p,extracted,data_video/processed/espresso-002/audio_16k_mono.wav,5,9,data_video/keyframes/espresso-002,7.0.2-static,
espresso-003,data_video/raw/authorized_sources/espresso-003.webm,02f11c27554694f09d275df37d7b26e7d9eb7424f97cb07a9cff901c5491efc3,original,2026-07-16T16:29:22.948286+00:00,success,140.95,30.0,1920,1080,vp9,yuv420p(tv),extracted,data_video/processed/espresso-003/audio_16k_mono.wav,5,28,data_video/keyframes/espresso-003,7.0.2-static,
pressure-001,data_video/raw/authorized_sources/pressure-001.webm,1fb991b801931f1b4ad9922e7f58edea0b3940f4f6364b700817e44d8ded5005,wikimedia_transcode,2026-07-16T16:29:25.431967+00:00,success,120.65,30.0,854,480,vp9,"yuv420p(tv, progressive)",extracted,data_video/processed/pressure-001/audio_16k_mono.wav,5,24,data_video/keyframes/pressure-001,7.0.2-static,
printer-001,data_video/raw/authorized_sources/printer-001.webm,763150ad2fddda905dec386ac2db3e9e4279edf882b2629e623f927009d3dda7,wikimedia_transcode,2026-07-16T16:29:25.685628+00:00,success,33.81,25.0,384,288,vp8,yuv420p(progressive),extracted,data_video/processed/printer-001/audio_16k_mono.wav,5,7,data_video/keyframes/printer-001,7.0.2-static,
vacuum-001,data_video/raw/authorized_sources/vacuum-001.webm,4b5708d5a23a322951f76962a871bf0b761ab005619d4df874dec30df85fb244,wikimedia_transcode,2026-07-16T16:29:26.205362+00:00,success,26.51,30.0,480,360,vp9,yuv420p(tv),extracted,data_video/processed/vacuum-001/audio_16k_mono.wav,5,5,data_video/keyframes/vacuum-001,7.0.2-static,
vacuum-002,data_video/raw/authorized_sources/vacuum-002.webm,3973dc88640c9bce9abf181d9652107bd4e3a0148a11d6e74c89d47f4940f10a,wikimedia_transcode,2026-07-16T16:29:26.586888+00:00,success,30.94,29.97,270,480,vp9,"yuv420p(tv, progressive)",extracted,data_video/processed/vacuum-002/audio_16k_mono.wav,5,6,data_video/keyframes/vacuum-002,7.0.2-static,
washing-001,data_video/raw/authorized_sources/washing-001.webm,821d29e952ea63170d1d645e6c7390aee3d887bb4817e8135ebb2e1946d9468c,wikimedia_transcode,2026-07-16T16:29:27.084221+00:00,success,15.78,29.97,854,480,vp9,"yuv420p(tv, progressive)",extracted,data_video/processed/washing-001/audio_16k_mono.wav,5,3,data_video/keyframes/washing-001,7.0.2-static,
washing-002,data_video/raw/authorized_sources/washing-002.webm,cf060289b3fbfd4a3ce824797ad7ae80ead4f2bab43ce2d93d60d2c7a7768ffd,original,2026-07-16T16:29:30.001152+00:00,success,23.61,30.0,1920,1080,vp9,"yuv420p(tv, bt709, progressive)",extracted,data_video/processed/washing-002/audio_16k_mono.wav,5,5,data_video/keyframes/washing-002,7.0.2-static,
washing-003,data_video/raw/authorized_sources/washing-003.webm,cd015c23369406a214cddc0248be1dcdb188c4a71b38958cfd642ba9bc9a4580,wikimedia_transcode,2026-07-16T16:29:31.878712+00:00,success,26.94,60.0,854,480,vp9,yuv420p(tv),extracted,data_video/processed/washing-003/audio_16k_mono.wav,5,5,data_video/keyframes/washing-003,7.0.2-static,
