record_id,field,original_value,normalized_value,normalization_rule
espresso-019,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
pressure-022,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
pressure-030,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
pressure-031,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-031,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-045,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-054,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-056,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-061,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-033,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-038,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-040,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-043,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-045,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-053,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-059,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
espresso-023,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
pressure-035,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
pressure-038,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
