record_id,review_scope,ai_expected_product_class,ai_predicted_product_class,title,source_platform,source_page_url,creator,license_id,candidate_split,technical_decision,ai_decision,ai_procedure_relevance,ai_functional_step_visible,ai_visual_evidence,ai_uncertainty,sample_frame_paths,review_priority,prescreen_flags,reviewer_id,review_status,license_evidence_status,corrected_product_class,corrected_procedure_relevance,corrected_functional_step_visible,privacy_risk,safety_risk,correction_reason,final_decision,dataset_split,reviewed_at,bundle_video_path,bundle_frame_dir
airfryer-017,full_positive_review,Air Fryer,Air Fryer,Can I actually fix my kitchen air fryer?,Internet Archive,https://archive.org/details/youtube-3emzRi3gdiQ,FanboyFilms2,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show disassembly of a black appliance with a vented base, internal heating element, and wiring, consistent with an air fryer being repaired or maintained.",,data_video/review/archive_candidate_frames/airfryer-017/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
airfryer-024,full_positive_review,Air Fryer,Air Fryer,NuWave Brio Digital Air Fryer,Internet Archive,https://archive.org/details/youtube-NmN53yuxr-U,NuWave LLC,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show the NuWave Brio Digital Air Fryer being used to cook French fries, with a basket being removed and the control panel being operated to set temperature and time.",,data_video/review/archive_candidate_frames/airfryer-024/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
airfryer-026,full_positive_review,Air Fryer,Air Fryer,MontereyRecreation Presents: That's Good! Air Fryer Donuts Demo,Internet Archive,https://archive.org/details/monterca-MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A black air fryer is visible on the counter in multiple frames. In frame 5, cooked donuts are shown on a rack next to the air fryer, indicating its use for cooking.",,data_video/review/archive_candidate_frames/airfryer-026/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
airfryer-027,full_positive_review,Air Fryer,Air Fryer,Cooking With Bob: Air Fryer or Oven Baked Buffalo Wings?,Internet Archive,https://archive.org/details/youtube-ohiGKnzmfAY,The American Patriot,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A black Gourmia air fryer is visible with its digital display showing '38' and a hand placing food into the basket. The context includes preparing buffalo wings, consistent with air fryer use.",,data_video/review/archive_candidate_frames/airfryer-027/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
airfryer-029,full_positive_review,Air Fryer,Air Fryer,Chicken Tandoori Recipe in Philips Airfryer by VahChef,Internet Archive,https://archive.org/details/youtube-DosjRtIxuEg,Vahchef - VahRehVah,OWNER-WRITTEN-AUTHORIZATION,source_disjoint_test_candidate,pass,retain_for_human_review,operation,yes,"A black air fryer is prominently displayed on the counter. The chef is shown placing raw chicken into the fryer basket and later removing cooked chicken from it, demonstrating its use for cooking.",,data_video/review/archive_candidate_frames/airfryer-029/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,source_disjoint_test,2026-07-23T06:13:41.000Z,,
airfryer-030,full_positive_review,Air Fryer,Air Fryer,Cooking Healthy Snacks with an Air fryer - Hardin County Extension Today June 2019,Internet Archive,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,HCEC-TV,OWNER-WRITTEN-AUTHORIZATION,source_disjoint_test_candidate,pass,retain_for_human_review,operation,yes,"A black air fryer is visible on the counter. The woman is shown interacting with it, including placing food inside and handling its handle, while subtitles describe the cooking process and safety precautions.",,data_video/review/archive_candidate_frames/airfryer-030/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,low,none,,accept,source_disjoint_test,2026-07-23T06:13:41.000Z,,
airfryer-032,full_positive_review,Air Fryer,Air Fryer,How To Clean Your Air Fryer → SMELLY DIRTY NEW Watch THIS!,Internet Archive,https://archive.org/details/how-to-clean-your-air-fryer-smelly-dirty-new-watch-this,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show cleaning the air fryer basket in the sink, wiping the exterior, and setting the digital control panel, all consistent with air fryer maintenance.",,data_video/review/archive_candidate_frames/airfryer-032/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-032/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-032/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-032/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-032/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
airfryer-033,full_positive_review,Air Fryer,Air Fryer,A DESTRUIÇÃO LEVA A CONSTRUÇÃO: AIRFRYER WALITA,Internet Archive,https://archive.org/details/ratao_frKY4As3ctXhnhf4,Archive contributor,CC-BY,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show disassembly of an air fryer, including removal of the outer shell and internal components like wiring and motor, indicating maintenance or repair.",,data_video/review/archive_candidate_frames/airfryer-033/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-033/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-033/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-033/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-033/sample_05.jpg,normal,,R1,completed,verified,Air Fryer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
espresso-017,full_positive_review,Espresso Machine,Espresso Machine,How to fix Jura A1 Model Espresso Machine,Internet Archive,https://archive.org/details/how-to-fix-jura-a1-model-espresso-machine,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"The frames show a person disassembling a white machine with internal components like a water tank and wiring, consistent with servicing an espresso machine. Tools and coffee-related items (coffee bag) are visible, supporting the context.",,data_video/review/archive_candidate_frames/espresso-017/sample_01.jpg|data_video/review/archive_candidate_frames/espresso-017/sample_02.jpg|data_video/review/archive_candidate_frames/espresso-017/sample_03.jpg|data_video/review/archive_candidate_frames/espresso-017/sample_04.jpg|data_video/review/archive_candidate_frames/espresso-017/sample_05.jpg,normal,,R1,completed,verified,Espresso Machine,yes,yes,low,none,,accept,development,2026-07-23T06:13:41.000Z,,
espresso-018,full_positive_review,Espresso Machine,Espresso Machine,Portable espresso maker goes wherever you go,Internet Archive,https://archive.org/details/youtube-llFWIu51xb8,Insider,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show a hand-operated device being used to grind coffee beans, which is a key step in espresso preparation. The text overlay confirms it's hand-operated and requires no batteries or electricity, consistent with a portable espresso maker. The context of travel and compactness further supports it being a portable espresso machine.",,data_video/review/archive_candidate_frames/espresso-018/sample_01.jpg|data_video/review/archive_candidate_frames/espresso-018/sample_02.jpg|data_video/review/archive_candidate_frames/espresso-018/sample_03.jpg|data_video/review/archive_candidate_frames/espresso-018/sample_04.jpg|data_video/review/archive_candidate_frames/espresso-018/sample_05.jpg,normal,,R1,completed,verified,Espresso Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
pressure-020,full_positive_review,Pressure Cooker,Pressure Cooker,How to make Basmati Rice in a Pressure Cooker,Internet Archive,https://archive.org/details/youtube-VrwddG6c1qA,Dave Hales,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A COSORI electric pressure cooker is prominently featured. Frames show rice being added to it, oil being poured in, and the control panel being used to set a timer, all indicating active use for cooking.",,data_video/review/archive_candidate_frames/pressure-020/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-020/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-020/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-020/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-020/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
pressure-026,full_positive_review,Pressure Cooker,Pressure Cooker,Diary Of An Arcade Employee Vidcast 05 (Atari's Pressure Cooker),Internet Archive,https://archive.org/details/DiaryOfAnArcadeEmployeeVidcast05PressureCooker,Vic Sage,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"The game displays a character inside a pressure cooker-like environment with visible pressure gauge, control knobs, and a lid. The player interacts with elements like a pressure gauge and a lid, which are core to the pressure cooker's operation.",,data_video/review/archive_candidate_frames/pressure-026/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-026/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-026/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-026/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-026/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
pressure-027,full_positive_review,Pressure Cooker,Pressure Cooker,Pressure cooker keto chili,Internet Archive,https://archive.org/details/youtube-ymo46Al_M60,WTVR CBS 6,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A woman is shown interacting with a black multicooker appliance, lifting its lid and stirring its contents, which are consistent with pressure-cooking operations.",,data_video/review/archive_candidate_frames/pressure-027/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-027/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-027/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-027/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-027/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,low,none,,accept,development,2026-07-23T06:13:41.000Z,,
pressure-028,full_positive_review,Pressure Cooker,Pressure Cooker,Instant Pot Risotto with Shrimp - Shrewsbury Community Cookbook,Internet Archive,https://archive.org/details/Instant_Pot_Risotto_with_Shrimp_-_Shrewsbury_Community_Cookbook,SMC,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A woman is actively stirring contents inside a stainless steel Instant Pot, which is an electric pressure cooker, on a kitchen counter. The appliance's digital display is visible, and ingredients are being added to the pot, indicating an active cooking operation.",,data_video/review/archive_candidate_frames/pressure-028/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-028/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-028/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-028/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-028/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,low,none,,accept,development,2026-07-23T06:13:41.000Z,,
pressure-032,full_positive_review,Pressure Cooker,Pressure Cooker,Making a Beef Stew using a Pressure Cooker,Internet Archive,https://archive.org/details/scm-214736-usingapressurecooker,J Nelson,CC-BY-SA,source_disjoint_test_candidate,pass,retain_for_human_review,operation,yes,"A person is shown placing the lid on a pressure cooker on a stovetop, and later adding ingredients to it. The pressure cooker's distinctive lid and valve are clearly visible in multiple frames.",,data_video/review/archive_candidate_frames/pressure-032/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-032/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-032/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-032/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-032/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,low,none,,accept,source_disjoint_test,2026-07-23T06:13:41.000Z,,
pressure-033,full_positive_review,Pressure Cooker,Pressure Cooker,Pressure Cooking is Easy as 1 - 2 -3 with Fagor Pressure Cookers,Internet Archive,https://archive.org/details/fagor-pressure-cooker,Fagor,OWNER-WRITTEN-AUTHORIZATION,source_disjoint_test_candidate,pass,retain_for_human_review,operation,yes,"Frames show a chef operating a pressure cooker, including closing the lid, placing the weight, and stirring contents while steam is visible. A sign reading 'PRESSURE COOKER' is also visible in one frame.",,data_video/review/archive_candidate_frames/pressure-033/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-033/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-033/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-033/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-033/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,none,none,,accept,source_disjoint_test,2026-07-23T06:13:41.000Z,,
pressure-036,full_positive_review,Pressure Cooker,Pressure Cooker,Simfonio Simpot Pressure Cooker Review,Internet Archive,https://archive.org/details/youtube-CZ7moF9ZvlA,Dave Hales,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A person is shown using an electric pressure cooker, including opening it, setting a timer, and checking cooked food with tongs and a thermometer.",,data_video/review/archive_candidate_frames/pressure-036/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-036/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-036/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-036/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-036/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,low,none,,accept,development,2026-07-23T06:13:41.000Z,,
