record_id,product_class,selection_status,selection_rank,class_baseline_count,class_target,class_requested_additions,selection_reason,dataset_split,privacy_risk,safety_risk,ai_procedure_relevance,creator,source_page_url,final_decision
airfryer-017,Air Fryer,selected,3,5,13,8,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=3,development,none,none,maintenance,FanboyFilms2,https://archive.org/details/youtube-3emzRi3gdiQ,accept
airfryer-021,Air Fryer,not_eligible,,5,13,8,not_accepted_by_r1,excluded,none,none,irrelevant,Alaska Prepper,https://archive.org/details/youtube-macMh9YZYjY,reject
airfryer-022,Air Fryer,not_eligible,,5,13,8,not_accepted_by_r1,excluded,low,none,operation,Montgomery Municipal Cable - MMC-TV,https://archive.org/details/mmcmd-Tina_s_Joyful_Kitchen-_Air_Fryer_Chicken_and_Veggie_Crunch_Salad,reject
airfryer-024,Air Fryer,selected,5,5,13,8,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=5,development,none,none,operation,NuWave LLC,https://archive.org/details/youtube-NmN53yuxr-U,accept
airfryer-026,Air Fryer,selected,8,5,13,8,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=8,development,none,none,operation,City of Monterey CA,https://archive.org/details/monterca-MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo,accept
airfryer-027,Air Fryer,selected,7,5,13,8,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=7,development,none,none,operation,The American Patriot,https://archive.org/details/youtube-ohiGKnzmfAY,accept
airfryer-028,Air Fryer,reserve,,5,13,8,eligible_reserve_after_class_quota,development,low,none,operation,Gloucester County VA,https://archive.org/details/gctvva-Library_Kitchen_-_Easy_Air_Fryer_Egg_Cups,accept
airfryer-029,Air Fryer,selected,1,5,13,8,selected_for_class_balance; split=source_disjoint_test; privacy=none; safety=none; procedure=operation; deterministic_rank=1,source_disjoint_test,none,none,operation,Vahchef - VahRehVah,https://archive.org/details/youtube-DosjRtIxuEg,accept
airfryer-030,Air Fryer,selected,2,5,13,8,selected_for_class_balance; split=source_disjoint_test; privacy=low; safety=none; procedure=operation; deterministic_rank=2,source_disjoint_test,low,none,operation,HCEC-TV,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,accept
airfryer-032,Air Fryer,selected,4,5,13,8,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=4,development,none,none,maintenance,Archive contributor,https://archive.org/details/how-to-clean-your-air-fryer-smelly-dirty-new-watch-this,accept
airfryer-033,Air Fryer,selected,6,5,13,8,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=6,development,none,none,maintenance,Archive contributor,https://archive.org/details/ratao_frKY4As3ctXhnhf4,accept
espresso-017,Espresso Machine,selected,2,10,13,3,selected_for_class_balance; split=development; privacy=low; safety=none; procedure=maintenance; deterministic_rank=2,development,low,none,maintenance,Archive contributor,https://archive.org/details/how-to-fix-jura-a1-model-espresso-machine,accept
espresso-018,Espresso Machine,selected,1,10,13,3,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=1,development,none,none,operation,Insider,https://archive.org/details/youtube-llFWIu51xb8,accept
espresso-019,Espresso Machine,not_eligible,,10,13,3,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/SaecoEspressoMachine_201708,reject
espresso-020,Espresso Machine,not_eligible,,10,13,3,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/Anthonysespresso.comSaecoEspressoMachine,reject
