record_id,review_protocol,license_reviewer,license_review_status,content_reviewer,content_review_status,adjudicator,adjudication_status,reviewer_id,review_status,license_evidence_status,final_decision,dataset_split,reviewed_at
airfryer-002,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
airfryer-005,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
airfryer-006,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
airfryer-011,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
camera-001,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
drill-001,legacy_abc,A,approved,B,reject_scope,C,confirmed_reject,,,,reject_scope,,
espresso-001,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
espresso-002,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
espresso-003,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
espresso-004,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
espresso-005,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
espresso-006,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
espresso-008,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
espresso-009,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
espresso-015,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
espresso-016,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
pressure-001,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
pressure-006,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
pressure-010,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
pressure-011,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
pressure-012,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
printer-001,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
printer-003,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
printer-006,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
vacuum-001,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
vacuum-002,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
vacuum-003,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
vacuum-008,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
vacuum-009,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
vacuum-010,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
washing-001,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
washing-002,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
washing-003,legacy_abc,A,approved,B,approved,C,approved,,,,accept,,
washing-007,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
washing-009,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,development,2026-07-22
washing-011,ai_single_reviewer_v1,,,,,,,R1,completed,verified,accept,source_disjoint_test,2026-07-22
