scene_id,record_id,start_seconds,end_seconds,duration_seconds,clip_path,clip_bytes,clip_sha256,source_path,source_sha256,detector,threshold,minimum_scene_seconds,processed_at,status,error
airfryer-002-scene-0001,airfryer-002,0.000,11.044,11.044,data_video/processed/airfryer-002/clips/airfryer-002-scene-0001.mp4,571931,77114a246e1dfd95229750172aba25decd822129a0d1fcaa858791cc50d7d083,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:06.684575+00:00,success,
airfryer-002-scene-0002,airfryer-002,11.044,77.544,66.500,data_video/processed/airfryer-002/clips/airfryer-002-scene-0002.mp4,3545826,9702b72a037afefef75f57709ab7f3f31c28553190c0ce712683df3524534643,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:18.708495+00:00,success,
airfryer-002-scene-0003,airfryer-002,77.544,96.630,19.086,data_video/processed/airfryer-002/clips/airfryer-002-scene-0003.mp4,1646078,472bac05d456552b7294c0ae0c0147bc61c0107d44abeabfca76b2c76caa12ea,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:23.681162+00:00,success,
airfryer-002-scene-0004,airfryer-002,96.630,118.852,22.222,data_video/processed/airfryer-002/clips/airfryer-002-scene-0004.mp4,1385178,31d2e231199fbbf7a561602527ef13386264833029999e09e087521ce2c7d90c,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:28.325717+00:00,success,
airfryer-002-scene-0005,airfryer-002,118.852,126.393,7.541,data_video/processed/airfryer-002/clips/airfryer-002-scene-0005.mp4,617952,d90abc89508143e0d26e365d553c9a999c9e4d7bab8459b068c6670df92c1f17,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:31.081550+00:00,success,
airfryer-002-scene-0006,airfryer-002,126.393,137.271,10.878,data_video/processed/airfryer-002/clips/airfryer-002-scene-0006.mp4,577927,7ca2390b43264e3aac6545c54a36525463b5b042d32006bd89cb79ff1a7c961b,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:33.472233+00:00,success,
airfryer-002-scene-0007,airfryer-002,137.271,191.625,54.354,data_video/processed/airfryer-002/clips/airfryer-002-scene-0007.mp4,6071703,64ed170ea0212f4a64f35d2e94c1e76d0548a9a02dadc01d842c0574a9def078,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:48.334971+00:00,success,
airfryer-002-scene-0008,airfryer-002,191.625,241.808,50.184,data_video/processed/airfryer-002/clips/airfryer-002-scene-0008.mp4,3215903,6e0d7a87c3fa9ca03631a76b157351a9bb41e6e88e74bb8e5e95e54a8a5e96dd,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:41:57.980925+00:00,success,
airfryer-002-scene-0009,airfryer-002,241.808,257.424,15.616,data_video/processed/airfryer-002/clips/airfryer-002-scene-0009.mp4,1857911,75ce5c4fb0280ee2a8ab9f4e9f9fe1675be2906534423a5f8c51756e6eeffc13,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:42:03.028805+00:00,success,
airfryer-002-scene-0010,airfryer-002,257.424,283.851,26.426,data_video/processed/airfryer-002/clips/airfryer-002-scene-0010.mp4,1800143,804b18eab6e7d2b2b4c413c3341ab9e07f76c93ce577629f553347748656cab1,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:42:08.132592+00:00,success,
airfryer-002-scene-0011,airfryer-002,283.851,328.095,44.244,data_video/processed/airfryer-002/clips/airfryer-002-scene-0011.mp4,5133109,4670f5e14b4a2072814904f1e82e9a1db05942d45b574179b76146c2a7cc1ea3,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,ffmpeg_scene_score,0.32,2,2026-07-22T12:42:19.803213+00:00,success,
