metric,value,denominator,rate,notes
reviewed_total,121,,,
final_accept,74,121,0.611570,
final_reject,47,121,0.388430,
accepted_split::development,70,,,
accepted_split::source_disjoint_test,4,,,
ai_retained_final_accept,74,115,0.643478,
ai_retained_final_reject,41,115,0.356522,
ai_retained_product_class_corrections,0,114,0.000000,
ai_retained_procedure_corrections,20,114,0.175439,
ai_retained_functional_step_corrections,24,114,0.210526,
ai_manual_review_without_complete_labels,1,115,0.008696,
reject_audit_false_rejects,0,6,0.000000,"Wilson 95% CI [0.000000, 0.390334]"
accepted_class::Air Fryer,9,,,
accepted_class::Espresso Machine,2,,,
accepted_class::Pressure Cooker,10,,,
accepted_class::Printer,11,,,
accepted_class::Vacuum,18,,,
accepted_class::Washing Machine,24,,,
