record_id,product_class,title,source_platform,source_page_url,creator,license_id,license_url,license_evidence_url,license_checked_at,duration_seconds,width,height,language,procedure_or_scene,relevance,commercial_use,modification,redistribution_rule,personality_or_privacy,status,status_reason,reviewer_1,reviewer_2,local_file_sha256,notes
airfryer-002,Air Fryer,Library Kitchen: Air Fryer Oreos,Internet Archive,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,Gloucester County VA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,2026-07-22,357.89,854,480,English,air fryer recipe procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,source_disjoint_test_candidate; archive_file=Library_Kitchen_-_Air_Fryer_Oreos.mp4; final_split=development; reviewed_at=2026-07-22
airfryer-005,Air Fryer,Air Fryer Bacon and Egg Toast Recipe,Internet Archive,https://archive.org/details/youtube-RaolUs_38zQ,In The Kitchen With Matt,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-RaolUs_38zQ,2026-07-22,355.24,854,480,und,air fryer breakfast cooking,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,af30c198eef94cae98d3b1c2ec8fc7ba6b0571979c2701c2d108dd8f0c33bd3a,development_candidate; archive_file=RaolUs_38zQ.mp4; final_split=source_disjoint_test; reviewed_at=2026-07-22
airfryer-006,Air Fryer,Make Easy ' Air Fryer Oreos' At Home With Only 2 Ingredients,Internet Archive,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,Good Morning America,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,2026-07-21,31.18,360,360,eng,air fryer recipe procedure,machine_candidate,owner_authorized,owner_authorized,redistribution allowed,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,5cc4dcbc92d594d1f19086d5fc32570b59210ebf5a1b01f2bb31cb362fc17b40,development_candidate; archive_file=Make easy 'Air Fryer Oreos' at home with only 2 ingredients.mp4; final_split=development; reviewed_at=2026-07-22
airfryer-011,Air Fryer,Monterey Recreation Presents: That's Good! Air Fryer Grilled Cheese,Internet Archive,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,2026-07-21,108,854,480,English,air fryer cooking procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,d47a8a1077c51d764227d20be8f4e23b4f0fbd6d6f30df5a6c4b2e6f3c067038,development_candidate; archive_file=Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese.mp4; final_split=source_disjoint_test; reviewed_at=2026-07-22
camera-001,Camera,CCD - The heart of a digital camera,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:CCD_-_The_heart_of_a_digital_camera_(how_a_charge-coupled_device_works).webm,Bill Hammack,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/wiki/File:CCD_-_The_heart_of_a_digital_camera_(how_a_charge-coupled_device_works).webm,2026-07-16,266,1920,1080,en,camera teardown and CCD explanation,medium,allowed,allowed,attribution required,presenter visible,scope_review,Strong component explanation but not ordinary camera operation,Codex,,871b69bf09dda7c6f7b865bc58cf2d942d802273536877d5d6a1a58fced1d6fb,License was archived and reviewed by Wikimedia
drill-001,Electric Drill,Drilling a gear wheel on a turning machine,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Drilling_a_gear_wheel_on_a_turning_machine.WebM,Musicaloris,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:Drilling_a_gear_wheel_on_a_turning_machine.WebM,2026-07-16,53.887,1920,1080,en,machine-tool drilling,low,allowed,allowed,redistribution allowed; project still defaults to metadata-only release,none observed,reject_scope,The workpiece rotates on a lathe and this is not handheld electric-drill operation,Codex,,,Source SHA-1 dcd9a2aecd06dc1b4835513b51b023a4167a5aa7
espresso-001,Espresso Machine,Espresso video,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Espresso_video.ogv,Rosatrieu,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Espresso_video.ogv,2026-07-16,54.336,1280,720,en,espresso preparation,high,allowed,allowed,modified media must preserve compatible ShareAlike terms,none observed,provisional_accept,Directly shows espresso preparation and has captions,Codex,,1853f8dce07b802dc9ba4ce8a9e217baf53aed62b55dc53c7f21b07a876c860c,Source SHA-1 97cf3804768ebf086f41d21f6f1a2af3ca0af7d2
espresso-002,Espresso Machine,Nespresso machine,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Nespresso_machine.ogv,Kjetil Ree,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:Nespresso_machine.ogv,2026-07-16,45,1920,1088,en,capsule coffee machine operation,high,allowed,allowed,redistribution allowed; project still defaults to metadata-only release,none observed,provisional_accept,Direct product operation and permissive CC0 license,Codex,,5e3701e9a1d0caa489016d208cc66270048eddbc5bb2d0ccb0a3b26a419ce3b9,
espresso-003,Espresso Machine,Moccamaster coffee maker,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Moccamaster_coffee_maker.webm,Sounds of Changes,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/wiki/File:Moccamaster_coffee_maker.webm,2026-07-16,141,1920,1080,en,coffee maker operation,medium,allowed,allowed,attribution required,none observed,scope_review,Coffee maker may not align with the espresso-machine manuals,Codex,,02f11c27554694f09d275df37d7b26e7d9eb7424f97cb07a9cff901c5491efc3,License was archived and reviewed by Wikimedia
espresso-004,Espresso Machine,Der perfekte Espresso aus dem Siebträger.ogv,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv,"Max Duchardt, Katrin Engel",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/wiki/File:Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv,2026-07-21,88.672,1920,1080,und,espresso machine,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,cd09ba95b536437322a1bc161abbcb32281b8e1fe4ec0fb849542d39ff9e302d,source_disjoint_test_candidate; variant=480p.vp9.webm; Der perfekte Espresso aus dem Siebträger; final_split=development; reviewed_at=2026-07-22
