scene_id,record_id,status,frame_count,frame_paths_json,model,model_revision,device,dtype,prompt_version,processed_at,error
camera-001-scene-0001,camera-001,success,2,"[""data_video/vlm_frames/camera-001-scene-0001/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0001/frame_02.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:08.478137+00:00,
camera-001-scene-0002,camera-001,success,3,"[""data_video/vlm_frames/camera-001-scene-0002/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0002/frame_02.jpg"",""data_video/vlm_frames/camera-001-scene-0002/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:14.534309+00:00,
camera-001-scene-0003,camera-001,success,2,"[""data_video/vlm_frames/camera-001-scene-0003/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0003/frame_02.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:21.261821+00:00,
camera-001-scene-0004,camera-001,success,2,"[""data_video/vlm_frames/camera-001-scene-0004/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0004/frame_02.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:27.117021+00:00,
camera-001-scene-0005,camera-001,success,3,"[""data_video/vlm_frames/camera-001-scene-0005/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0005/frame_02.jpg"",""data_video/vlm_frames/camera-001-scene-0005/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:35.546124+00:00,
camera-001-scene-0006,camera-001,success,3,"[""data_video/vlm_frames/camera-001-scene-0006/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0006/frame_02.jpg"",""data_video/vlm_frames/camera-001-scene-0006/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:42.218171+00:00,
camera-001-scene-0007,camera-001,success,3,"[""data_video/vlm_frames/camera-001-scene-0007/frame_01.jpg"",""data_video/vlm_frames/camera-001-scene-0007/frame_02.jpg"",""data_video/vlm_frames/camera-001-scene-0007/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:48.091087+00:00,
espresso-001-scene-0001,espresso-001,success,1,"[""data_video/vlm_frames/espresso-001-scene-0001/frame_01.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:51.743564+00:00,
espresso-001-scene-0002,espresso-001,success,3,"[""data_video/vlm_frames/espresso-001-scene-0002/frame_01.jpg"",""data_video/vlm_frames/espresso-001-scene-0002/frame_02.jpg"",""data_video/vlm_frames/espresso-001-scene-0002/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:47:59.539721+00:00,
espresso-001-scene-0003,espresso-001,success,2,"[""data_video/vlm_frames/espresso-001-scene-0003/frame_01.jpg"",""data_video/vlm_frames/espresso-001-scene-0003/frame_02.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:48:05.492816+00:00,
