record_id,product_class,title,source_platform,source_page_url,creator,license_id,license_url,license_evidence_url,license_checked_at,duration_seconds,width,height,language,procedure_or_scene,relevance,commercial_use,modification,redistribution_rule,personality_or_privacy,status,status_reason,reviewer_1,reviewer_2,local_file_sha256,notes
espresso-004,Espresso Machine,Der perfekte Espresso aus dem Siebträger.ogv,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv,"Max Duchardt, Katrin Engel",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/wiki/File:Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv,2026-07-21,88.672,1920,1080,und,espresso machine,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,source_disjoint_test_candidate; variant=480p.vp9.webm; Der perfekte Espresso aus dem Siebträger
espresso-005,Espresso Machine,"Morning Espresso Routine - Progress, Results, Observations and Miscellany.webm",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Morning_Espresso_Routine_-_Progress,_Results,_Observations_and_Miscellany.webm","Scott Schiller from San Francisco, CA, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,"https://commons.wikimedia.org/wiki/File:Morning_Espresso_Routine_-_Progress,_Results,_Observations_and_Miscellany.webm",2026-07-21,55.858,1920,1080,und,espresso machine,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"source_disjoint_test_candidate; variant=480p.vp9.webm; This is how I make coffee in the morning. As one would hope with routines, both the speed and the results of this one are improving with time. Espresso is the result of almost-boiling water at high pressure (~8 bars or 116 PSI) being forced at a consistent rate through coffee beans ground to a specific range of fineness. This video doesn't show the grinding of the beans, distribution and tamping - basically, the first two-thirds of the process. This is just about brewing, the ""fun"" part. What yo"
espresso-006,Espresso Machine,Приготовление макиато.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:%D0%9F%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BC%D0%B0%D0%BA%D0%B8%D0%B0%D1%82%D0%BE.webm,Pannet,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:%D0%9F%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BC%D0%B0%D0%BA%D0%B8%D0%B0%D1%82%D0%BE.webm,2026-07-21,49.407,800,990,und,espresso machine,machine_candidate,allowed,allowed,share-alike attribution required,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,source_disjoint_test_candidate; variant=480p.vp9.webm; Приготовление макиато в кофемашине
espresso-007,Espresso Machine,Kahvin tiputtelu Moccamasterilla.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kahvin_tiputtelu_Moccamasterilla.webm,Aaaatu,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:Kahvin_tiputtelu_Moccamasterilla.webm,2026-07-21,259.8,1920,1080,und,espresso machine,machine_candidate,allowed,allowed,share-alike attribution required,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"development_candidate; variant=480p.vp9.webm; Brewing coffee with Technivorm Moccamaster K741.64B, entry tier minimum viable product of Dutch well established state of the art drip coffee machine manufacturer. 15 years well served coffee machine with recently renewed water container. Difference to premium models is that the filter cone lies directly on the glass can instead of separate holder arm. Full process from start to end."
espresso-008,Espresso Machine,"Machine à café à l'hôtel de la Cloche (Dole, Jura, France).webm",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Machine_%C3%A0_caf%C3%A9_%C3%A0_l%27h%C3%B4tel_de_la_Cloche_(Dole,_Jura,_France).webm",Benoît Prieur,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"https://commons.wikimedia.org/wiki/File:Machine_%C3%A0_caf%C3%A9_%C3%A0_l%27h%C3%B4tel_de_la_Cloche_(Dole,_Jura,_France).webm",2026-07-21,60.77,1920,1080,und,espresso machine,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"development_candidate; variant=480p.vp9.webm; Machine à café à l'hôtel de la Cloche (Dole, Jura, France) Necta Krea Espresso"
espresso-009,Espresso Machine,Tassimo coffee system.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tassimo_coffee_system.webm,Erik Pålsson;,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/wiki/File:Tassimo_coffee_system.webm,2026-07-21,83.808,1920,1080,und,espresso machine,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"development_candidate; variant=480p.vp9.webm; This is a Tassimo single-serve coffee system manufactured by Bosch, and bought in Sweden. It it a machine similar to the Nespresso system which makes single-serve coffee or hot beverages using a sort of capsule. You can make, espresso, cafe americano, hot chocolate, tea, lattes and much more. On each little capsule, or disc, is a bar code which is read by the machine and it then changes the temperature of the water, the amount of water, brew time and strength according to the code. Even though t"
espresso-010,Espresso Machine,The bean that could save coffee from climate change.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_bean_that_could_save_coffee_from_climate_change.webm,Context_news,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:The_bean_that_could_save_coffee_from_climate_change.webm,2026-07-21,672.38,1920,1080,und,espresso preparation,machine_candidate,allowed,allowed,share-alike attribution required,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"development_candidate; variant=480p.vp9.webm; One of the world’s most popular beverages is in crisis. Climate change could reduce by as much as half land suitable for coffee production by 2050, due to higher temperatures and extreme weather, and Arabica - by far the world’s most popular coffee species - is in trouble. Farmers in the world’s biggest coffee producer, Brazil, are trying out a variety of ways to cope, from moving Arabica crops to higher altitudes to planting trees as a buffer against storms. But is a long-forgotten coffee speci"
espresso-011,Espresso Machine,I Am CDC - Amanda MacGurn.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:I_Am_CDC_-_Amanda_MacGurn.webm,Centers for Disease Control and Prevention,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:I_Am_CDC_-_Amanda_MacGurn.webm,2026-07-21,90.983,1280,720,und,espresso preparation,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"development_candidate; variant=480p.vp9.webm; I’ve been with CDC for almost 6 years. I work in the Division of Global Migration and Quarantine, on the Global Border Health Team. I work with authorities at international airports and other points of entry in French-speaking West African countries to help them plan for infectious disease outbreaks. We help them develop public health emergency response plans and procedures, train staff, and conduct simulations so they that can better protect their country and the world, including the US, from t"
espresso-012,Espresso Machine,Know Your Crew...Four!.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Know_Your_Crew...Four!.webm,NASA Johnson,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:Know_Your_Crew...Four!.webm,2026-07-21,261.481,1280,720,und,espresso preparation,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,"development_candidate; variant=480p.vp9.webm; After being together -- every day -- for many many months, preparing for a long-duration spaceflight, you’d think the astronauts of NASA’s SpaceX Crew-4 mission would know one another pretty well. And you’d be right, even down to them being pretty sure who is going to tell the next bad joke! Watch as Kjell Lindgren, Bob Hines, Jessica Watkins and Samantha Cristoforetti have fun answering questions about each other, pondering the 1995 versions of themselves, great baristas in history, and the won"
espresso-013,Espresso Machine,Latte art flower - 01.ogv,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Latte_art_flower_-_01.ogv,Anna Frodesiak,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:Latte_art_flower_-_01.ogv,2026-07-21,24.384,720,480,und,espresso preparation,machine_candidate,allowed,allowed,attribution/license terms apply,pending_content_screen,owner_authorized_candidate,Open-license video; pending automated scope and quality screening,Codex-machine-prescreen,,,development_candidate; variant=480p.vp9.webm; Latte art flower
