record_id,product_class,title,source_platform,source_page_url,creator,license_id,license_url,license_evidence_url,license_checked_at,duration_seconds,width,height,language,procedure_or_scene,relevance,commercial_use,modification,redistribution_rule,personality_or_privacy,status,status_reason,reviewer_1,reviewer_2,local_file_sha256,notes
airfryer-002,Air Fryer,Library Kitchen: Air Fryer Oreos,Internet Archive,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,Gloucester County VA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,2026-07-22,357.89,854,480,English,air fryer recipe procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,source_disjoint_test_candidate; archive_file=Library_Kitchen_-_Air_Fryer_Oreos.mp4; final_split=development; reviewed_at=2026-07-22
airfryer-005,Air Fryer,Air Fryer Bacon and Egg Toast Recipe,Internet Archive,https://archive.org/details/youtube-RaolUs_38zQ,In The Kitchen With Matt,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-RaolUs_38zQ,2026-07-22,355.24,854,480,und,air fryer breakfast cooking,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,af30c198eef94cae98d3b1c2ec8fc7ba6b0571979c2701c2d108dd8f0c33bd3a,development_candidate; archive_file=RaolUs_38zQ.mp4; final_split=source_disjoint_test; reviewed_at=2026-07-22
airfryer-006,Air Fryer,Make Easy ' Air Fryer Oreos' At Home With Only 2 Ingredients,Internet Archive,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,Good Morning America,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,2026-07-21,31.18,360,360,eng,air fryer recipe procedure,machine_candidate,owner_authorized,owner_authorized,redistribution allowed,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,5cc4dcbc92d594d1f19086d5fc32570b59210ebf5a1b01f2bb31cb362fc17b40,development_candidate; archive_file=Make easy 'Air Fryer Oreos' at home with only 2 ingredients.mp4; final_split=development; reviewed_at=2026-07-22
airfryer-011,Air Fryer,Monterey Recreation Presents: That's Good! Air Fryer Grilled Cheese,Internet Archive,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,2026-07-21,108,854,480,English,air fryer cooking procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,d47a8a1077c51d764227d20be8f4e23b4f0fbd6d6f30df5a6c4b2e6f3c067038,development_candidate; archive_file=Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese.mp4; final_split=source_disjoint_test; reviewed_at=2026-07-22
airfryer-017,Air Fryer,Can I actually fix my kitchen air fryer?,Internet Archive,https://archive.org/details/youtube-3emzRi3gdiQ,FanboyFilms2,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-3emzRi3gdiQ,2026-07-22,1547.12,1280,720,und,"air fryer operation, maintenance, or troubleshooting",machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,9223ab4660d0c10be7da890c0ad13ee346420191e9607411c9edec081bf6a02b,development_candidate; archive_file=3emzRi3gdiQ.mp4; final_split=development; reviewed_at=2026-07-23T06:13:41.000Z
airfryer-024,Air Fryer,NuWave Brio Digital Air Fryer,Internet Archive,https://archive.org/details/youtube-NmN53yuxr-U,NuWave LLC,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-NmN53yuxr-U,2026-07-22,135.77,640,360,und,"air fryer operation, maintenance, or troubleshooting",machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,7a8740df543d21984569ff68779962861d20e0fc8ae4f42567d2e58ab6880faa,development_candidate; archive_file=NuWave_Brio_Digital_Air_Fryer-NmN53yuxr-U.mp4; final_split=development; reviewed_at=2026-07-23T06:13:41.000Z
airfryer-026,Air Fryer,MontereyRecreation Presents: That's Good! Air Fryer Donuts Demo,Internet Archive,https://archive.org/details/monterca-MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/monterca-MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo,2026-07-22,213.51,854,480,English,"air fryer operation, maintenance, or troubleshooting",machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,2c97ba89447c76d2f8e3923a4e16c461791bb3733eae994955229e750b6fcb27,development_candidate; archive_file=MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo.mp4; final_split=development; reviewed_at=2026-07-23T06:13:41.000Z
airfryer-027,Air Fryer,Cooking With Bob: Air Fryer or Oven Baked Buffalo Wings?,Internet Archive,https://archive.org/details/youtube-ohiGKnzmfAY,The American Patriot,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-ohiGKnzmfAY,2026-07-22,283.43,854,480,und,"air fryer operation, maintenance, or troubleshooting",machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,d19ef592cad182330f3685fa61061f1249a0fe6a401741e149ae7d0f9cce671a,development_candidate; archive_file=ohiGKnzmfAY.mp4; final_split=development; reviewed_at=2026-07-23T06:13:41.000Z
airfryer-029,Air Fryer,Chicken Tandoori Recipe in Philips Airfryer by VahChef,Internet Archive,https://archive.org/details/youtube-DosjRtIxuEg,Vahchef - VahRehVah,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/youtube-DosjRtIxuEg,2026-07-22,673.33,854,480,und,air fryer cooking procedure,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,853838ee93433557fe93454b1bb73a0fb1a33d6e93f377f2ed1ebc18ebaf2a74,source_disjoint_test_candidate; archive_file=DosjRtIxuEg.mp4; final_split=source_disjoint_test; reviewed_at=2026-07-23T06:13:41.000Z
airfryer-030,Air Fryer,Cooking Healthy Snacks with an Air fryer - Hardin County Extension Today June 2019,Internet Archive,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,HCEC-TV,OWNER-WRITTEN-AUTHORIZATION,,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,2026-07-22,1092.2,480,360,English,healthy snack preparation,machine_candidate,owner_authorized,owner_authorized,restricted to authorization owner-confirmed-2026-07-21-dataset-expansion,pending_content_screen,accepted,AI pre-annotation accepted after completed R1 review,R1,,5eed26cd72252c2aef8202a3d43fdd670ba8c943356a131b75ade7b330c27bb2,source_disjoint_test_candidate; archive_file=Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019.mp4; final_split=source_disjoint_test; reviewed_at=2026-07-23T06:13:41.000Z
