dimension,group,mode,queries,mean_iou,r1_iou_0.3,temporal_map_0.3,r1_iou_0.5,temporal_map_0.5,r1_iou_0.7,temporal_map_0.7
overall,all,bm25,74,0.364233,0.391892,0.323731,0.364865,0.321382,0.337838,0.315156
overall,all,dense,74,0.424987,0.445946,0.416294,0.445946,0.420883,0.391892,0.402664
overall,all,visual,74,0.409332,0.459459,0.429790,0.418919,0.420714,0.391892,0.431744
overall,all,hybrid,74,0.488783,0.513514,0.452123,0.513514,0.461418,0.472973,0.452167
overall,all,tri_hybrid,74,0.546985,0.581081,0.538917,0.581081,0.541091,0.554054,0.555414
product_class,Air Fryer,bm25,15,0.531695,0.533333,0.168824,0.533333,0.183080,0.533333,0.190452
product_class,Air Fryer,dense,15,0.664652,0.666667,0.372812,0.666667,0.366369,0.666667,0.366978
product_class,Air Fryer,visual,15,0.450705,0.533333,0.310686,0.400000,0.233272,0.400000,0.230120
product_class,Air Fryer,hybrid,15,0.731501,0.733333,0.325904,0.733333,0.342076,0.733333,0.334845
product_class,Air Fryer,tri_hybrid,15,0.678079,0.733333,0.407254,0.733333,0.383102,0.666667,0.374461
product_class,Espresso Machine,bm25,11,0.490927,0.545455,0.396143,0.545455,0.402596,0.454545,0.410496
product_class,Espresso Machine,dense,11,0.487399,0.545455,0.517562,0.545455,0.516224,0.454545,0.499382
product_class,Espresso Machine,visual,11,0.471896,0.545455,0.589100,0.545455,0.595327,0.454545,0.596645
product_class,Espresso Machine,hybrid,11,0.469983,0.545455,0.560900,0.545455,0.558838,0.454545,0.576851
product_class,Espresso Machine,tri_hybrid,11,0.725867,0.818182,0.743312,0.818182,0.750383,0.727273,0.761005
product_class,Pressure Cooker,bm25,14,0.243779,0.285714,0.153265,0.214286,0.141086,0.214286,0.159963
product_class,Pressure Cooker,dense,14,0.285771,0.357143,0.367899,0.357143,0.352668,0.214286,0.312753
product_class,Pressure Cooker,visual,14,0.384540,0.428571,0.340233,0.428571,0.347022,0.357143,0.370770
product_class,Pressure Cooker,hybrid,14,0.271041,0.285714,0.339975,0.285714,0.334365,0.285714,0.357629
product_class,Pressure Cooker,tri_hybrid,14,0.542519,0.571429,0.431635,0.571429,0.435291,0.571429,0.498262
product_class,Printer,bm25,14,0.212802,0.214286,0.432577,0.214286,0.447592,0.214286,0.434244
product_class,Printer,dense,14,0.157190,0.142857,0.293586,0.142857,0.306561,0.142857,0.302000
product_class,Printer,visual,14,0.285786,0.357143,0.437090,0.285714,0.419159,0.285714,0.412824
product_class,Printer,hybrid,14,0.385100,0.428571,0.447122,0.428571,0.472356,0.357143,0.442929
product_class,Printer,tri_hybrid,14,0.456579,0.500000,0.618976,0.500000,0.648184,0.500000,0.623762
product_class,Vacuum,bm25,7,0.142857,0.142857,0.245398,0.142857,0.241282,0.142857,0.215446
product_class,Vacuum,dense,7,0.424747,0.428571,0.297868,0.428571,0.317309,0.428571,0.351852
product_class,Vacuum,visual,7,0.424577,0.428571,0.357553,0.428571,0.449815,0.428571,0.544444
