case_id,gold_label,predicted_label,correct,product_class,synthetic,transformation,latency_seconds,confidence,job_status,model
DIAG-01-A,correct_step,out_of_scope,0,Air Fryer,0,natural accepted standard scene; proxy positive,8.080157,1.0,completed,qwen3.7-plus
DIAG-01-B,insufficient_evidence,insufficient_evidence,1,Air Fryer,1,synthetic full occlusion,10.052637,1.0,completed,qwen3.7-plus
DIAG-01-C,out_of_scope,failed,0,Air Fryer,1,cross-product substitution from Espresso Machine,1.020016,,failed,
DIAG-02-A,correct_step,failed,0,Espresso Machine,0,natural accepted standard scene; proxy positive,1.023834,,failed,
DIAG-02-B,insufficient_evidence,insufficient_evidence,1,Espresso Machine,1,synthetic full occlusion,8.048510,0.0,completed,qwen3.7-plus
DIAG-02-C,out_of_scope,failed,0,Espresso Machine,1,cross-product substitution from Pressure Cooker,1.048888,,failed,
DIAG-03-A,correct_step,failed,0,Pressure Cooker,0,natural accepted standard scene; proxy positive,1.060851,,failed,
DIAG-03-B,insufficient_evidence,insufficient_evidence,1,Pressure Cooker,1,synthetic full occlusion,9.059876,1.0,completed,qwen3.7-plus
DIAG-03-C,out_of_scope,out_of_scope,1,Pressure Cooker,1,cross-product substitution from Printer,7.067221,1.0,completed,qwen3.7-plus
DIAG-04-A,correct_step,correct_step,1,Printer,0,natural accepted standard scene; proxy positive,7.057265,0.95,completed,qwen3.7-plus
DIAG-04-B,insufficient_evidence,insufficient_evidence,1,Printer,1,synthetic full occlusion,8.055124,0.0,completed,qwen3.7-plus
DIAG-04-C,out_of_scope,out_of_scope,1,Printer,1,cross-product substitution from Vacuum,9.092801,1.0,completed,qwen3.7-plus
DIAG-05-A,correct_step,insufficient_evidence,0,Vacuum,0,natural accepted standard scene; proxy positive,13.098404,0.1,completed,qwen3.7-plus
DIAG-05-B,insufficient_evidence,insufficient_evidence,1,Vacuum,1,synthetic full occlusion,7.054845,1.0,completed,qwen3.7-plus
DIAG-05-C,out_of_scope,out_of_scope,1,Vacuum,1,cross-product substitution from Washing Machine,10.075362,1.0,completed,qwen3.7-plus
DIAG-06-A,correct_step,wrong_component,0,Washing Machine,0,natural accepted standard scene; proxy positive,12.083610,1.0,completed,qwen3.7-plus
DIAG-06-B,insufficient_evidence,insufficient_evidence,1,Washing Machine,1,synthetic full occlusion,8.058665,1.0,completed,qwen3.7-plus
DIAG-06-C,out_of_scope,out_of_scope,1,Washing Machine,1,cross-product substitution from Air Fryer,8.064571,1.0,completed,qwen3.7-plus
