query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-001,Air Fryer,operation,development,bm25,0.996960,1,0.337179,1,0.365278,1,0.398485
VQ-002,Air Fryer,operation,development,bm25,1.000000,1,0.307407,1,0.345833,1,0.395238
VQ-003,Air Fryer,operation,development,bm25,0.000000,0,0.152778,0,0.152778,0,0.152778
VQ-004,Air Fryer,state,development,bm25,0.000000,0,0.009259,0,0.009259,0,0.009259
VQ-005,Air Fryer,state,development,bm25,1.000000,1,0.090909,1,0.105263,1,0.111111
VQ-006,Air Fryer,state,development,bm25,0.987691,1,0.107143,1,0.116883,1,0.116883
VQ-007,Air Fryer,component,development,bm25,1.000000,1,0.299786,1,0.258681,1,0.269928
VQ-008,Air Fryer,component,development,bm25,0.000000,0,0.020513,0,0.020513,0,0.009091
VQ-009,Air Fryer,component,development,bm25,1.000000,1,0.243860,1,0.257407,1,0.257407
VQ-010,Air Fryer,maintenance,development,bm25,1.000000,1,0.390714,1,0.337302,1,0.337302
VQ-011,Air Fryer,maintenance,source_disjoint_test,bm25,0.000000,0,0.101852,0,0.114583,0,0.087302
VQ-012,Air Fryer,maintenance,source_disjoint_test,bm25,0.000000,0,0.092172,0,0.100551,0,0.100551
VQ-013,Air Fryer,troubleshooting,source_disjoint_test,bm25,0.000000,0,0.083333,0,0.083333,0,0.083333
VQ-014,Air Fryer,troubleshooting,source_disjoint_test,bm25,0.000000,0,0.000000,0,,0,
VQ-016,Air Fryer,safety,source_disjoint_test,bm25,0.990777,1,0.295455,1,0.295455,1,0.337662
VQ-018,Espresso Machine,operation,development,bm25,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-019,Espresso Machine,operation,development,bm25,1.000000,1,0.729524,1,0.729524,1,0.729524
VQ-020,Espresso Machine,operation,development,bm25,0.995370,1,0.750000,1,0.750000,1,0.750000
VQ-021,Espresso Machine,state,development,bm25,0.996791,1,0.437500,1,0.437500,1,0.437500
VQ-022,Espresso Machine,state,development,bm25,0.599606,1,0.347350,1,0.347350,0,0.158996
VQ-023,Espresso Machine,state,development,bm25,0.000000,0,0.130952,0,0.130952,0,0.130952
VQ-024,Espresso Machine,component,development,bm25,0.808427,1,0.454666,1,0.454666,1,0.410328
VQ-026,Espresso Machine,component,development,bm25,1.000000,1,0.638889,1,0.709877,1,0.709877
VQ-027,Espresso Machine,maintenance,development,bm25,0.000000,0,0.277778,0,0.277778,0,0.277778
VQ-029,Espresso Machine,maintenance,source_disjoint_test,bm25,0.000000,0,0.090909,0,0.090909,0,
VQ-030,Espresso Machine,troubleshooting,source_disjoint_test,bm25,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-035,Pressure Cooker,operation,development,bm25,0.990228,1,0.194773,1,0.176789,1,0.173967
VQ-036,Pressure Cooker,operation,development,bm25,0.422676,1,0.361111,0,0.166667,0,0.222222
VQ-037,Pressure Cooker,operation,development,bm25,1.000000,1,0.363636,1,0.400000,1,0.444444
VQ-038,Pressure Cooker,state,development,bm25,0.000000,0,0.042857,0,0.042857,0,0.050000
VQ-039,Pressure Cooker,state,development,bm25,1.000000,1,0.380952,1,0.380952,1,0.380952
VQ-040,Pressure Cooker,state,development,bm25,0.000000,0,0.016667,0,0.022222,0,0.022222
VQ-041,Pressure Cooker,component,development,bm25,0.000000,0,0.000000,0,0.000000,0,
VQ-042,Pressure Cooker,component,development,bm25,0.000000,0,0.047619,0,0.047619,0,0.047619
VQ-043,Pressure Cooker,component,development,bm25,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-044,Pressure Cooker,maintenance,development,bm25,0.000000,0,0.166667,0,0.166667,0,0.166667
VQ-046,Pressure Cooker,maintenance,source_disjoint_test,bm25,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-047,Pressure Cooker,troubleshooting,source_disjoint_test,bm25,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-049,Pressure Cooker,troubleshooting,source_disjoint_test,bm25,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-050,Pressure Cooker,safety,source_disjoint_test,bm25,0.000000,0,0.071429,0,0.071429,0,0.071429
VQ-052,Printer,operation,development,bm25,0.000000,0,0.250000,0,,0,
VQ-053,Printer,operation,development,bm25,0.000000,0,0.583333,0,0.583333,0,0.583333
VQ-054,Printer,operation,development,bm25,0.979228,1,1.000000,1,1.000000,1,1.000000
VQ-055,Printer,state,development,bm25,0.000000,0,0.200000,0,0.200000,0,0.200000
VQ-056,Printer,state,development,bm25,0.000000,0,0.468254,0,0.468254,0,0.321429
VQ-057,Printer,state,development,bm25,0.000000,0,0.250000,0,0.250000,0,0.250000
VQ-058,Printer,component,development,bm25,0.000000,0,0.450000,0,,0,
VQ-059,Printer,component,development,bm25,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-061,Printer,maintenance,development,bm25,0.000000,0,0.166667,0,0.166667,0,0.166667
VQ-063,Printer,maintenance,source_disjoint_test,bm25,0.000000,0,0.291667,0,0.291667,0,0.291667
VQ-065,Printer,troubleshooting,source_disjoint_test,bm25,0.000000,0,0.071429,0,0.071429,0,0.071429
VQ-066,Printer,troubleshooting,source_disjoint_test,bm25,1.000000,1,0.833333,1,0.833333,1,0.833333
VQ-067,Printer,safety,source_disjoint_test,bm25,0.000000,0,0.058824,0,0.058824,0,0.058824
VQ-068,Printer,safety,source_disjoint_test,bm25,0.000000,0,,0,,0,
VQ-070,Vacuum,operation,development,bm25,1.000000,1,0.451852,1,0.451852,1,0.555556
VQ-072,Vacuum,state,development,bm25,0.000000,0,0.127841,0,0.170455,0,0.170455
VQ-073,Vacuum,state,development,bm25,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-074,Vacuum,state,development,bm25,0.000000,0,0.138095,0,0.066667,0,0.066667
VQ-075,Vacuum,component,development,bm25,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-078,Vacuum,maintenance,development,bm25,0.000000,0,0.500000,0,0.500000,0,
VQ-083,Vacuum,safety,source_disjoint_test,bm25,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-086,Washing Machine,operation,development,bm25,0.400657,1,0.750000,0,0.166667,0,0.166667
VQ-087,Washing Machine,operation,development,bm25,1.000000,1,0.435294,1,0.435294,1,0.435294
VQ-088,Washing Machine,state,development,bm25,0.000000,0,0.168670,0,0.168670,0,0.143875
VQ-090,Washing Machine,state,development,bm25,0.000000,0,,0,,0,
VQ-091,Washing Machine,component,development,bm25,0.996638,1,0.750000,1,1.000000,1,1.000000
VQ-092,Washing Machine,component,development,bm25,0.191516,0,0.500000,0,0.500000,0,0.500000
VQ-093,Washing Machine,component,development,bm25,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-094,Washing Machine,maintenance,development,bm25,0.996425,1,1.000000,1,1.000000,1,1.000000
VQ-095,Washing Machine,maintenance,source_disjoint_test,bm25,0.000000,0,,0,,0,
VQ-096,Washing Machine,maintenance,source_disjoint_test,bm25,0.000000,0,0.361111,0,0.361111,0,0.361111
VQ-097,Washing Machine,troubleshooting,source_disjoint_test,bm25,1.000000,1,0.500000,1,0.500000,1,0.500000
VQ-098,Washing Machine,troubleshooting,source_disjoint_test,bm25,0.600288,1,1.000000,1,1.000000,0,
VQ-099,Washing Machine,safety,source_disjoint_test,bm25,0.000000,0,0.142857,0,0.142857,0,0.142857
