dimension,group,mode,queries,mean_iou,r1_iou_0.3,temporal_map_queries_0.3,temporal_map_0.3,temporal_map_all_queries_0.3,r1_iou_0.5,temporal_map_queries_0.5,temporal_map_0.5,temporal_map_all_queries_0.5,r1_iou_0.7,temporal_map_queries_0.7,temporal_map_0.7,temporal_map_all_queries_0.7
overall,all,bm25,74,0.364233,0.391892,71,0.323731,0.310606,0.364865,68,0.321382,0.295324,0.337838,64,0.315156,0.272567
overall,all,dense,74,0.424987,0.445946,71,0.416294,0.399417,0.445946,68,0.420883,0.386758,0.391892,64,0.402664,0.348250
overall,all,visual,74,0.409332,0.459459,71,0.429790,0.412366,0.418919,68,0.420714,0.386602,0.391892,64,0.431744,0.373400
overall,all,hybrid,74,0.488783,0.513514,71,0.452123,0.433794,0.513514,68,0.461418,0.424006,0.472973,64,0.452167,0.391063
overall,all,tri_hybrid,74,0.546985,0.581081,71,0.538917,0.517069,0.581081,68,0.541091,0.497219,0.554054,64,0.555414,0.480358
product_class,Air Fryer,bm25,15,0.531695,0.533333,15,0.168824,0.168824,0.533333,14,0.183080,0.170875,0.533333,14,0.190452,0.177755
product_class,Air Fryer,dense,15,0.664652,0.666667,15,0.372812,0.372812,0.666667,14,0.366369,0.341944,0.666667,14,0.366978,0.342513
product_class,Air Fryer,visual,15,0.450705,0.533333,15,0.310686,0.310686,0.400000,14,0.233272,0.217721,0.400000,14,0.230120,0.214779
product_class,Air Fryer,hybrid,15,0.731501,0.733333,15,0.325904,0.325904,0.733333,14,0.342076,0.319271,0.733333,14,0.334845,0.312522
product_class,Air Fryer,tri_hybrid,15,0.678079,0.733333,15,0.407254,0.407254,0.733333,14,0.383102,0.357562,0.666667,14,0.374461,0.349497
product_class,Espresso Machine,bm25,11,0.490927,0.545455,11,0.396143,0.396143,0.545455,11,0.402596,0.402596,0.454545,10,0.410496,0.373178
product_class,Espresso Machine,dense,11,0.487399,0.545455,11,0.517562,0.517562,0.545455,11,0.516224,0.516224,0.454545,10,0.499382,0.453983
product_class,Espresso Machine,visual,11,0.471896,0.545455,11,0.589100,0.589100,0.545455,11,0.595327,0.595327,0.454545,10,0.596645,0.542404
product_class,Espresso Machine,hybrid,11,0.469983,0.545455,11,0.560900,0.560900,0.545455,11,0.558838,0.558838,0.454545,10,0.576851,0.524410
product_class,Espresso Machine,tri_hybrid,11,0.725867,0.818182,11,0.743312,0.743312,0.818182,11,0.750383,0.750383,0.727273,10,0.761005,0.691822
product_class,Pressure Cooker,bm25,14,0.243779,0.285714,14,0.153265,0.153265,0.214286,14,0.141086,0.141086,0.214286,13,0.159963,0.148537
product_class,Pressure Cooker,dense,14,0.285771,0.357143,14,0.367899,0.367899,0.357143,14,0.352668,0.352668,0.214286,13,0.312753,0.290413
product_class,Pressure Cooker,visual,14,0.384540,0.428571,14,0.340233,0.340233,0.428571,14,0.347022,0.347022,0.357143,13,0.370770,0.344286
product_class,Pressure Cooker,hybrid,14,0.271041,0.285714,14,0.339975,0.339975,0.285714,14,0.334365,0.334365,0.285714,13,0.357629,0.332084
product_class,Pressure Cooker,tri_hybrid,14,0.542519,0.571429,14,0.431635,0.431635,0.571429,14,0.435291,0.435291,0.571429,13,0.498262,0.462672
product_class,Printer,bm25,14,0.212802,0.214286,13,0.432577,0.401679,0.214286,11,0.447592,0.351679,0.214286,11,0.434244,0.341192
product_class,Printer,dense,14,0.157190,0.142857,13,0.293586,0.272615,0.142857,11,0.306561,0.240869,0.142857,11,0.302000,0.237286
product_class,Printer,visual,14,0.285786,0.357143,13,0.437090,0.405870,0.285714,11,0.419159,0.329339,0.285714,11,0.412824,0.324361
product_class,Printer,hybrid,14,0.385100,0.428571,13,0.447122,0.415185,0.428571,11,0.472356,0.371137,0.357143,11,0.442929,0.348016
product_class,Printer,tri_hybrid,14,0.456579,0.500000,13,0.618976,0.574764,0.500000,11,0.648184,0.509287,0.500000,11,0.623762,0.490099
product_class,Vacuum,bm25,7,0.142857,0.142857,7,0.245398,0.245398,0.142857,7,0.241282,0.241282,0.142857,6,0.215446,0.184668
product_class,Vacuum,dense,7,0.424747,0.428571,7,0.297868,0.297868,0.428571,7,0.317309,0.317309,0.428571,6,0.351852,0.301587
product_class,Vacuum,visual,7,0.424577,0.428571,7,0.357553,0.357553,0.428571,7,0.449815,0.449815,0.428571,6,0.544444,0.466667
product_class,Vacuum,hybrid,7,0.569468,0.571429,7,0.462897,0.462897,0.571429,7,0.476190,0.476190,0.571429,6,0.467593,0.400794
product_class,Vacuum,tri_hybrid,7,0.284416,0.285714,7,0.422565,0.422565,0.285714,7,0.443633,0.443633,0.285714,6,0.512016,0.438871
product_class,Washing Machine,bm25,13,0.475810,0.538462,11,0.600721,0.508302,0.461538,11,0.570418,0.482661,0.384615,10,0.524980,0.403831
product_class,Washing Machine,dense,13,0.534090,0.538462,11,0.656295,0.555326,0.538462,11,0.661977,0.560134,0.461538,10,0.614008,0.472314
product_class,Washing Machine,visual,13,0.460196,0.461538,11,0.584217,0.494338,0.461538,11,0.561490,0.475107,0.461538,10,0.581574,0.447365
product_class,Washing Machine,hybrid,13,0.527336,0.538462,11,0.657251,0.556136,0.538462,11,0.657251,0.556136,0.461538,10,0.615536,0.473489
product_class,Washing Machine,tri_hybrid,13,0.487914,0.461538,11,0.630032,0.533104,0.461538,11,0.622456,0.526694,0.461538,10,0.628313,0.483318
query_type,component,bm25,14,0.499756,0.500000,14,0.421810,0.421810,0.500000,13,0.442213,0.410626,0.500000,12,0.475354,0.407446
query_type,component,dense,14,0.369797,0.357143,14,0.427685,0.427685,0.357143,13,0.452946,0.420593,0.357143,12,0.446572,0.382776
query_type,component,visual,14,0.412106,0.428571,14,0.404645,0.404645,0.428571,13,0.430283,0.399548,0.428571,12,0.472693,0.405166
query_type,component,hybrid,14,0.570697,0.571429,14,0.522864,0.522864,0.571429,13,0.549758,0.510489,0.571429,12,0.591627,0.507109
query_type,component,tri_hybrid,14,0.599275,0.642857,14,0.548717,0.548717,0.642857,13,0.570502,0.529752,0.571429,12,0.599116,0.513528
query_type,maintenance,bm25,13,0.153571,0.153846,12,0.328295,0.303041,0.153846,12,0.325603,0.300557,0.153846,10,0.328904,0.253003
query_type,maintenance,dense,13,0.383571,0.384615,12,0.392148,0.361983,0.384615,12,0.370360,0.341870,0.384615,10,0.381887,0.293759
query_type,maintenance,visual,13,0.521714,0.538462,12,0.454157,0.419222,0.538462,12,0.460061,0.424672,0.538462,10,0.502073,0.386210
query_type,maintenance,hybrid,13,0.537185,0.538462,12,0.440774,0.406868,0.538462,12,0.433988,0.400604,0.538462,10,0.438583,0.337371
query_type,maintenance,tri_hybrid,13,0.599172,0.615385,12,0.505450,0.466570,0.615385,12,0.503225,0.464515,0.615385,10,0.538781,0.414447
query_type,operation,bm25,15,0.652341,0.733333,15,0.444459,0.444459,0.600000,14,0.408858,0.381601,0.600000,14,0.429108,0.400501
query_type,operation,dense,15,0.676171,0.733333,15,0.524414,0.524414,0.733333,14,0.520469,0.485771,0.666667,14,0.518508,0.483941
query_type,operation,visual,15,0.531490,0.600000,15,0.559785,0.559785,0.533333,14,0.505009,0.471341,0.533333,14,0.517384,0.482892
query_type,operation,hybrid,15,0.763763,0.800000,15,0.613732,0.613732,0.800000,14,0.627211,0.585397,0.800000,14,0.633427,0.591199
query_type,operation,tri_hybrid,15,0.875862,0.933333,15,0.721348,0.721348,0.933333,14,0.719865,0.671874,0.933333,14,0.742687,0.693175
query_type,safety,bm25,6,0.165130,0.166667,5,0.113713,0.094761,0.166667,5,0.113713,0.094761,0.166667,5,0.122154,0.101795
query_type,safety,dense,6,0.231796,0.166667,5,0.163988,0.136657,0.166667,5,0.163988,0.136657,0.166667,5,0.153452,0.127877
query_type,safety,visual,6,0.000000,0.000000,5,0.124167,0.103472,0.000000,5,0.124167,0.103472,0.000000,5,0.124762,0.103968
query_type,safety,hybrid,6,0.198463,0.166667,5,0.188074,0.156729,0.166667,5,0.188074,0.156729,0.166667,5,0.196119,0.163432
query_type,safety,tri_hybrid,6,0.165130,0.166667,5,0.324935,0.270779,0.166667,5,0.324935,0.270779,0.166667,5,0.337273,0.281060
query_type,state,bm25,17,0.269652,0.294118,16,0.182278,0.171556,0.294118,16,0.182330,0.171605,0.235294,16,0.160644,0.151194
query_type,state,dense,17,0.362691,0.411765,16,0.351757,0.331066,0.411765,16,0.357663,0.336624,0.294118,16,0.319252,0.300473
query_type,state,visual,17,0.386135,0.470588,16,0.379069,0.356771,0.411765,16,0.405357,0.381513,0.294118,16,0.380452,0.358073
query_type,state,hybrid,17,0.350715,0.411765,16,0.356427,0.335461,0.411765,16,0.357316,0.336297,0.294118,16,0.313837,0.295376
query_type,state,tri_hybrid,17,0.375371,0.411765,16,0.431682,0.406289,0.411765,16,0.435769,0.410136,0.352941,16,0.420090,0.395379
query_type,troubleshooting,bm25,9,0.288921,0.333333,9,0.332011,0.332011,0.333333,8,0.373512,0.332011,0.222222,7,0.284014,0.220899
query_type,troubleshooting,dense,9,0.398482,0.444444,9,0.505471,0.505471,0.444444,8,0.557292,0.495370,0.333333,7,0.494048,0.384259
